tokenIndex,original
6,discusse
18,liv'd
33,Iove
34,lov'd
40,Iuno
49,Growne
51,o're
53,doth
75,Iove
83,Goddesse
104,dar'd
109,seem'd
116,shee's
117,shee's
123,nought
125,freedome
127,inlarge
137,sequell
175,neere
180,steales
200,'mongst
221,floures
222,crown'd
225,lawes
275,vnto
280,Faire
328,mov'd
334,windes
378,coole
395,hookes
397,wormes
400,Fastned
407,silke
416,floud
419,chrystall
428,dresse
437,forme
454,againe
457,carelesse
467,meere
481,admir'd
488,Swaines
491,belov'd
497,Sutors
556,selfe
559,rurall
560,Swaines
568,floures
570,^nd
577,browes
579,^nd
589,thinke
595,i'am
596,i'am
604,offred
614,flouds
630,fantasie
640,weake
645,sence
648,reall
658,beare
663,Hath
679,colour
687,weaknesse
696,meere
703,aime
711,myne
715,question'd
727,Heav'ns
751,banisht
760,meere
767,forc'd
769,naturall
778,Soveraign
779,o're
788,hourely
797,Iove
798,himselfe
804,Foot-boy
828,learn'd
839,asham'd
857,Iove
858,himselfe
859,Downe
863,Fabrick
867,Vs
877,looke
878,vpon
902,Appeare
904,Iove
915,sham'd
916,confesse
928,god-head
930,prophane
943,let's
944,let's
945,seeke
958,Ioves
961,dost
967,shalt
996,Faire
1003,seale
1011,vow'd
1014,steale
1021,shalt
1022,finde
1023,imprest
1027,cheeke
1034,brest
1036,Forbeare
1053,dispence
1059,unknowne
1142,i'le
1143,i'le
1144,practise
1151,Ne're
1197,vndone
1201,flouds
1210,they'l
1211,they'l
1228,spie
1243,darknesse
1272,doe
1306,Iuno
1359,i'le
1360,i'le
1367,darknesse
1378,heav'ns
1406,Styl'd
1420,'mongst
1423,Yeeld
1446,Yeelds
1473,nurst
1501,yeeld
1512,encourag'd
1525,cleare
1535,aire
1564,thicke
1572,aire
1576,sulph'rous
1600,vs
1609,forc'd
1626,jealousie
1632,'tis
1633,'tis
1639,blinde
1640,myne
1641,eies
1650,finde
1667,scap'd
1679,finde
1709,i'le
1710,i'le
1716,heare
1725,Howe're
1726,i'le
1727,i'le
1731,entertaine
1734,what's
1735,what's
1740,Iuno
1747,Iupiter
1765,soveraign
1780,Ty'd
1795,deckt
1807,affaire
1809,Iuno
1814,aske
1831,aske
1850,i'le
1851,i'le
1857,downe
1877,hath
1878,drawne
1889,th'
1891,himselfe
1895,iust
1900,gon
1913,Iuno
1922,^nd
1928,designes
1961,Deare
1968,kindenesse
1973,vnto
2001,royall
2011,'tis
2012,'tis
2040,Medowes
2049,doth
2051,Iuno
2052,aske
2057,myne
2069,Iove
2083,shee's
2084,shee's
2107,beautifull
2142,feare
2147,beg'd
2153,deny'd
2164,streight
2221,conceal'd
2228,enioy
2234,deny'd
2251,appeare
2286,seruant
2299,'tis
2300,'tis
2310,expresse
2321,vnkinde
2323,there's
2324,there's
2331,eies
2345,myne
2347,i'le
2348,i'le
2354,what's
2355,what's
2361,seruant
2364,who's
2365,who's
2371,goddesse
2372,Iuno
2383,tak't
2384,tak't
2386,briefe
2415,i'le
2416,i'le
2423,expresse
2429,what's
2430,what's
2434,poore
2448,us'd
2463,kisse
2482,brest
2483,himselfe
2499,hornes
2506,myne
2507,owne
2533,hast
2547,turnes
2563,winke
2572,Behinde
2575,hast
2585,soe're
2588,shee's
2589,shee's
2634,know'st
2637,vnruly
2638,cattell
2648,binde
2699,vp
2703,cleare
2749,thornes
2755,chuse
2781,reuenge
2796,Me-thinks
2798,looke
2840,haue
2857,i'le
2858,i'le
2859,leade
2866,finde
2870,downe
2881,i'le
2882,i'le
2889,Necke
2899,shalt
2900,finde
2911,behinde
2913,Speake
2948,devour'd
2952,stain'd
2954,bloud
2963,myne
2967,neighbour
2969,Perisht
2977,vp
2984,banke
2986,buriall
2988,Deare
2994,selfe
3008,hauing
3016,there's
3017,there's
3030,antient
3031,neighbour
3040,moane
3042,losse
3047,pitty
3061,teares
3078,speake
3088,vaine
3090,myne
3092,losse
3097,curst
3108,i'le
3109,i'le
3113,hornes
3124,i'le
3125,i'le
3136,Centre
3143,snatcht
3144,vp
3147,aire
3151,exhal'd
3155,fixt
3156,vpward
3166,bosome
3175,myne
3176,armes
3178,Faire
3184,thinke
3187,hath
3191,taile
3195,keepe
3202,what's
3203,what's
3204,hee
3215,drunke
3218,streames
3224,loue
3229,beautifull
3247,Iuno's
3251,canst
3259,faire
3261,what's
3262,what's
3299,myne
3327,heards
3344,'tis
3345,'tis
3356,followes
3366,keepe
3368,backe
3387,shee
3391,speake
3393,Heare
3397,floures
3402,kist
3403,myne
3406,Whilest
3408,teares
3420,poore
3423,pitty
3437,Th'
3438,hast
3447,feare
3448,there's
3449,there's
3452,in't
3453,in't
3460,Vnlesse
3464,vnderstanding
3468,irrationall
3474,wouldst
3485,pitty
3491,thinke
3506,seemes
3508,hath
3510,somthing
3522,faire
3535,reade
3547,hath
3552,imprest
3567,forrests
3599,transform'd
3602,terme
3640,Forbeare
3647,leade
3651,ile
3652,ile
3662,there's
3663,there's
3668,waies
3709,foure
3717,i'le
3718,i'le
3746,ile
3747,ile
3791,vvould
3792,beleeve
3809,th'
3810,extremitie
3820,despaire
3826,easie
3827,'tis
3828,'tis
3832,tast
3834,griefe
3862,suffer'd
3881,ile
3882,ile
3890,burthen
3892,myne
3893,untun'd
3912,Chanels
3920,sluces
3938,myne
3939,eies
3968,finde
3975,cal
3977,sonne
3986,brest
3994,sucke
4002,immortall
4006,dores
4014,debar'd
4016,i'de
4017,i'de
4018,weepe
4020,selfe
4026,Beeing
4030,flouds
4033,mixt
4041,lesse
4083,i'le
4084,i'le
4087,vpon
4094,mov'd
4102,eares
4112,heare
4115,pitty
4117,hast
4123,Seene
4125,teares
4127,Perceiv'd
4140,grones
4142,Tortur'd
4147,groome
4161,oft
4162,hath
4172,pitty
4182,th'
4199,griefe
4204,owne
4208,oft
4219,fruitfull
4224,vs'd
4228,Offring
4230,drinke
4235,Crystall
4245,hath
4246,lookt
4254,cheeke
4268,hath
4269,kist
4271,Stretcht
4276,widenesse
4279,o're
4281,inlarg'd
4298,looke
4308,cleare
4311,deckt
4316,prest
4318,hornes
4321,oft
4322,hath
4328,asham'd
4334,selfe
4337,vaine
4342,selfe
4353,helpe
4362,thyne
4379,keepes
4392,layd
4395,Finde
4409,eies
4432,Iove
4438,condition'd
4444,awfull
4449,Iuno's
4453,th'
4457,vs
4470,eies
4473,dost
4476,thyne
4486,dyet
4489,dost
4490,thinke
4493,chaine
4505,riuer
4507,againe
4511,doth
4513,faire
4515,feele
4517,selfe
4519,Wouldst
4522,haue
4529,physicke
4539,i'le
4540,i'le
4551,thornes
4562,here's
4563,here's
4581,i'le
4582,i'le
4592,looke
4594,pitty
4605,watch-tower
4621,gardian
4623,ile
4624,ile
4625,gard
4639,Iuno's
4670,knowne
4690,turn'd
4700,sonne
4704,keepe
4711,Ioves
4726,shepheard
4728,there's
4729,there's
4740,feare
4745,prepar'd
4747,mischiefe
4762,seem'st
4766,ranke
4773,talke
4781,Doth
4788,know'st
4793,shepheard
4797,knowes
4802,feares
4811,th'art
4812,th'art
4838,faire
4842,neighbour
4852,shee's
4853,shee's
4877,hath
4888,reade
4895,'tis
4896,'tis
4911,prethee
4917,goddesse
4923,disguis'd
4943,toyes
4953,Gyants
4962,Heape
4968,Vpon
4980,vpon
4990,reache
5006,Gyants
5012,Iove
5023,briefe
5033,'gainst
5034,heauen
5039,forc't
5043,Iove
5045,chac'd
5051,chang'd
5052,Himselfe
5061,Turnes
5071,Iuno
5086,tooke
5099,knowne
5134,shepheard
5141,goddesse
5149,goddesse
5151,saist
5154,thinke
5156,equall
5163,Gyants
5176,leade
5178,god-head
5187,musick
5190,strooke
5191,vp
5207,shepheards
5208,Behinde
5210,rocke
5216,growes
5229,Prest
5234,vpon
5243,tyr'd
5255,passe
5279,musicke
5287,Shepheards
5297,Musicke
5304,th'
5306,plaines
5316,traine
5323,plaine
5325,Arm'd
5347,Saue
5350,horne
5361,musicke
5370,worke
5375,himselfe
5388,growes
5389,carelesse
5396,brookes
5406,hath
5407,minde
5409,wooe
5413,speakes
5418,doe
5420,'tis
5421,'tis
5431,drowsie
5433,withall
5458,vp
5463,faine
5477,seemes
5480,vertue
5491,i'de
5492,i'de
5498,addes
5500,vnto
5505,goale
5511,chace
5514,addes
5545,sleepe
5551,keepe
5557,here's
5558,here's
5560,charme
5565,heares
5584,Wondring
5597,myne
5612,hath
5613,tooke
5618,thyne
5623,sleepe
5626,hast
5633,taske
5648,call'd
5656,lustre
5668,memorie
5672,knowne
5673,brightnesse
5675,hath
5701,euery
5716,vanisht
5721,deare
5729,hadst
5731,louing
5732,mistresse
5736,shouldst
5746,eies
5749,blinde
5752,after-times
5754,giue
5758,perpetuitie
5777,Iuno
5786,traine
5792,hath
5797,bee
5807,whilest
5813,plaine
5818,hoofe
5826,Iuno
5837,faire
5838,intreats
5847,pitty
5854,vse
5881,knowne
5883,breake
5885,Signe
5894,Iove
5897,meere
5904,sweare
5906,what's
5907,what's
5916,feare
5920,quarrell
5932,seruant
5961,Iupiter
5973,Iuno
5975,appeas'd
5983,owne
5991,vnto
6000,Iupiter
6003,Iuno
6014,accesse
6017,teares
6019,pittied
6023,losse
6024,bemoan'd
6031,faire
6033,pleas'd
6035,^nd
6041,restor'd
6045,immortall
6053,Queene
6054,appeas'd
6059,haire
6060,dropt
6067,hornes
6072,eies
6078,lesse
6079,orbe
6088,compasse
6093,sweetnesse
6098,restor'd
6106,hoofe
6107,diuided
6131,whitenesse
6133,nought
6140,feares
6142,speake
6154,minde
6168,childe
6178,what's
6179,what's
6181,^hat
6192,thinkes
6243,remisnesse
6249,speake
6251,'tis
6252,'tis
6276,pleas'd
6279,Iuno
6295,confin'd
6302,Iuno's
6317,goddesse
6319,shalt
6322,Ador'd
6324,worshipt
6334,offer'd
6342,divinitie
6349,Iuno
6356,Ioves
6364,revok'd
6378,punisht
