token,tokenToMatch,endReason,tag,tagIndex
THe,the,s,considrd,0
innocence,innocence,c,,
",",",",s,,
truth,truth,c,,
",",",",s,,
and,and,s,,
simplicity,simplicity,n,strd,0
Of,of,s,considrd,0
country,country,s,strd,0
Damsels,damsels,c,,
:,:,s,,
What,what,s,,
felicity,felicity,n,strd,0
They,they,s,considrd,0
arrive,arrive,s,,
to,to,s,considrd,0
in,in,s,considrd,0
their,their,s,considrd,0
low,low,s,,
estate,estate,c,,
;,;,n,,
What,what,s,,
freedoms,freedoms,s,,
they,they,s,considrd,0
participate,participate,c,,
",",",",n,,
What,what,s,,
joy,joy,c,strd,0
",",",",s,,
what,what,s,,
solace,solace,c,,
",",",",s,,
what,what,s,,
content,content,n,,
To,to,s,considrd,0
their,their,s,considrd,0
innocuous,innocuous,s,,
life,life,s,,
is,is,s,considrd,0
lent,lent,c,,
.,.,n,,
The,the,s,considrd,0
humble,humble,s,,
shed,shed,s,,
and,and,s,,
cottage,cottage,s,,
held,held,n,,
More,more,s,,
safe,safe,s,,
than,than,s,,
gorgeous,gorgeous,s,,
houses,houses,c,,
",",",",s,,
swelled,swelled,n,strd,0
With,with,s,considrd,0
pomp,pomp,s,strd,0
and,and,s,,
wealth,wealth,c,,
.,.,s,,
It,it,s,,
likewise,likewise,s,,
proves,proves,n,,
More,more,s,,
simple,simple,s,,
truth,truth,s,,
in,in,s,considrd,0
their,their,s,considrd,0
chaste,chaste,s,,
loves,loves,c,,
",",",",n,,
Than,than,s,,
greater,greater,s,,
Ladies,ladies,c,,
",",",",s,,
tympany',tympany',s,,
de,de,n,,
With,with,s,considrd,0
much,much,s,,
more,more,s,,
honor,honor,c,strd,0
",",",",s,,
state,state,c,,
",",",",s,,
and,and,s,,
pride,pride,c,,
.,.,n,,
Here,here,s,strd,0
Is,is,s,strd,1
of,of,s,considrd,0
the,the,s,considrd,0
Willow,willow,s,,
wreath,wreath,s,,
dispute,dispute,c,,
",",",",n,,
How,how,c,,
",",",",s,,
and,and,s,,
why,why,s,,
worn,worn,c,strd,0
.,.,s,,
What,what,s,,
best,best,s,,
does,does,s,strd,0
suit,suit,n,strd,0
Forsaken,forsaken,s,,
Virgins,virgins,c,,
",",",",s,,
read,read,s,strd,0
and,and,s,,
find,find,n,strd,0
Their,their,s,considrd,0
characters,characters,s,,
who,who,s,considrd,0
prove,prove,s,,
unkind,unkind,c,strd,0
.,.,n,,
GOod,good,s,,
morrow,morrow,c,,
.,.,nn,,
So,so,s,,
to,to,s,considrd,0
you,you,c,considrd,0
",",",",s,,
fair,fair,s,strd,0
Shepherdess,shepherdess,c,strd,0
.,.,nn,,
What,what,s,,
news,news,s,strd,0
in,in,s,considrd,0
our,our,s,,
Arcadia,arcadia,c,,
?,?,nn,,
I,i,s,considrd,0
know,know,s,,
none,none,c,,
:,:,n,,
For,for,s,considrd,0
well,well,s,,
you,you,s,considrd,0
wot,wot,s,,
it,it,s,,
is,is,s,considrd,0
no,no,s,considrd,0
news,news,s,strd,0
with,with,s,considrd,0
us,us,c,,
",",",",n,,
That,that,s,considrd,0
men,men,s,,
should,should,s,,
prove,prove,s,,
inconstant,inconstant,c,,
.,.,nn,,
Think,think,s,strd,0
you,you,s,considrd,0
so,so,c,,
?,?,nn,,
Thought's,thought's,s,,
free,free,c,,
.,.,nn,,
I,i,s,considrd,0
pray,pray,s,,
can,can,s,,
you,you,s,considrd,0
define,define,s,,
me,me,s,,
Thought,thought,c,,
?,?,nn,,
Let,let,s,,
me,me,s,,
bethink,bethink,s,strd,0
my,my,s,considrd,0
self,self,c,strd,0
",",",",s,,
I,i,s,considrd,0
think,think,s,strd,0
I,i,s,considrd,0
can,can,c,,
:,:,n,,
For,for,s,considrd,0
I,i,s,considrd,0
have,have,s,considrd,0
thought,thought,s,,
of,of,s,considrd,0
many,many,s,,
things,things,s,,
e're,e're,s,,
now,now,c,,
.,.,nn,,
But,but,s,,
can,can,s,,
you,you,s,considrd,0
guess,guess,s,strd,0
what,what,s,,
I,i,s,considrd,0
think,think,c,strd,0
?,?,nn,,
I,i,s,considrd,0
(,(,c,,
perhaps,perhaps,c,,
),),n,,
May,may,s,,
jumpe,jumpe,s,,
with,with,s,considrd,0
your,your,s,,
conceit,conceit,c,,
",",",",s,,
come,come,s,,
neere't,neere't,s,,
at,at,s,considrd,0
least,least,c,,
.,.,n,,
Of,of,s,considrd,0
colors,colors,s,strd,0
there,there,s,considrd,0
are,are,s,,
none,none,s,,
so,so,s,,
opposite,opposite,n,,
As,as,s,considrd,0
white,white,s,,
and,and,s,,
black,black,c,strd,0
:,:,s,,
and,and,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Elements,elements,n,,
Than,than,s,,
fire,fire,s,considrd,0
and,and,s,,
water,water,s,,
none,none,s,,
more,more,s,,
contrary,contrary,c,,
:,:,n,,
Nor,nor,s,,
is,is,s,considrd,0
there,there,s,considrd,0
ought,ought,s,,
so,so,s,,
antipathy',antipathy',s,,
de,de,s,,
in,in,s,considrd,0
men,men,c,,
",",",",n,,
As,as,s,considrd,0
what,what,s,,
they,they,s,considrd,0
think,think,s,strd,0
and,and,s,,
speak,speak,c,strd,0
.,.,nn,,
Now,now,s,,
let,let,s,,
me,me,s,,
help,help,s,strd,0
you,you,c,considrd,0
:,:,n,,
Men's,men's,s,strd,0
thoughts,thoughts,s,,
like,like,s,,
Courtiers,courtiers,s,,
clokes,clokes,s,,
are,are,s,,
often,often,s,,
shifted,shifted,c,,
",",",",n,,
And,and,s,,
change,change,s,,
as,as,s,considrd,0
often,often,s,strd,0
as,as,s,considrd,0
they,they,s,considrd,0
are,are,s,,
truly,truly,s,,
sifted,sifted,c,,
.,.,nn,,
This,this,s,considrd,0
then,then,s,,
has,has,s,strd,0
been,been,s,,
the,the,s,considrd,0
cause,cause,s,,
of,of,s,considrd,0
women's,women's,s,strd,0
sorrow,sorrow,c,,
;,;,n,,
Men,men,s,,
think,think,s,strd,0
to,to,s,considrd,0
day,day,s,,
ill,ill,c,,
",",",",s,,
to,to,s,considrd,0
do,do,s,,
worse,worse,s,,
to,to,s,considrd,0
morrow,morrow,c,,
:,:,n,,
Witness,witness,s,strd,0
Amphrisa's,amphrisa's,s,,
servant,servant,c,,
.,.,nn,,
Pity,pity,s,strd,0
it,it,c,strd,0
is,is,c,strd,1
",",",",n,,
^o,^o,s,,
fair,fair,s,strd,0
a,a,s,considrd,0
body,body,c,,
",",",",s,,
and,and,s,,
so,so,s,,
sweet,sweet,s,,
a,a,s,considrd,0
soul,soul,n,strd,0
should,should,s,strd,0
be,be,s,considrd,0
so,so,s,,
foulely,foulely,s,,
dealt,dealt,s,,
with,with,c,considrd,0
.,.,s,,
Her,her,s,,
false,false,s,,
Lover,lover,n,,
^nkindely,^nkindely,s,,
has,has,s,strd,0
forsook,forsook,s,strd,0
her,her,c,,
.,.,nn,,
That,that,s,strd,0
Is,is,s,strd,1
the,the,s,considrd,0
reason,reason,n,,
^hee's,^hee's,s,,
grown,grown,s,strd,0
into,into,s,considrd,0
so,so,s,,
deep,deep,s,strd,0
a,a,s,considrd,0
melancholy,melancholy,c,,
.,.,n,,
^,^,s,considrd,0
wonder,wonder,s,,
any,any,s,,
woman,woman,s,,
dare,dare,s,,
trust,trust,s,,
man,man,c,,
",",",",n,,
^nce,^nce,c,,
",",",",s,,
like,like,s,,
as,as,s,considrd,0
the,the,s,considrd,0
Chamelions,chamelions,s,,
change,change,s,,
themselves,themselves,n,,
unto,unto,s,strd,0
all,all,s,,
perfect,perfect,s,,
colors,colors,s,strd,0
saving,saving,s,,
white,white,c,,
;,;,n,,
^,^,s,considrd,0
they,they,s,considrd,0
can,can,s,,
to,to,s,considrd,0
all,all,s,,
humors,humors,s,,
frame,frame,s,,
their,their,s,considrd,0
speech,speech,c,,
",",",",n,,
^e,^e,s,,
only,only,s,,
to,to,s,considrd,0
prove,prove,s,,
honest,honest,c,,
.,.,nn,,
You,you,s,considrd,0
say,say,s,,
well,well,c,,
.,.,n,,
^t,^t,s,,
as,as,s,considrd,0
no,no,s,considrd,0
worms,worms,s,strd,0
breed,breed,s,,
where,where,s,,
they,they,s,considrd,0
feel,feel,s,strd,0
no,no,s,considrd,0
warmth,warmth,c,,
",",",",n,,
^o,^o,s,,
Vultures,vultures,s,,
watch,watch,s,,
where,where,s,,
they,they,s,considrd,0
can,can,s,,
find,find,s,strd,0
no,no,s,considrd,0
prey,prey,c,,
;,;,n,,
^o,^o,s,,
Pirat,pirat,s,,
roves,roves,s,,
but,but,s,,
where,where,s,,
he,he,s,considrd,0
hopes,hopes,s,,
for,for,s,considrd,0
spoil,spoil,c,strd,0
:,:,n,,
^,^,s,considrd,0
none,none,s,,
of,of,s,considrd,0
these,these,s,,
false,false,s,,
servants,servants,s,,
wait,wait,c,,
",",",",s,,
but,but,s,,
where,where,n,,
^hey,^hey,s,,
find,find,s,strd,0
a,a,s,considrd,0
yielding,yielding,s,strd,0
Mistress,mistress,c,strd,0
.,.,nn,,
Indeed,indeed,s,,
light,light,s,,
minds,minds,s,,
are,are,s,,
caught,caught,s,strd,0
with,with,s,considrd,0
little,little,s,,
things,things,c,,
",",",",n,,
and,and,s,strd,0
Phancie,phancie,s,,
smells,smells,s,strd,0
to,to,s,considrd,0
Fennel,fennel,c,strd,0
.,.,nn,,
But,but,s,,
Amphrisa,amphrisa,n,,
Is,is,s,considrd,0
held,held,s,,
to,to,s,considrd,0
be,be,s,considrd,0
the,the,s,considrd,0
wisest,wisest,s,,
shepherdess,shepherdess,n,strd,0
That,that,s,considrd,0
lives,lives,s,,
in,in,s,considrd,0
our,our,s,,
Arcadia,arcadia,c,,
.,.,nn,,
But,but,s,,
I,i,s,considrd,0
have,have,s,considrd,0
heard,heard,c,,
",",",",n,,
Late,late,s,,
wit,wit,s,,
and,and,s,,
cheated,cheated,s,,
wisdom,wisdom,s,strd,0
to,to,s,considrd,0
be,be,s,considrd,0
counted,counted,n,,
Next,next,s,,
neighbors,neighbors,s,strd,0
unto,unto,s,,
folly,folly,c,,
.,.,s,,
Shepherds,shepherds,s,strd,0
now,now,c,,
",",",",n,,
The,the,s,considrd,0
holier,holier,s,,
that,that,s,considrd,0
they,they,s,considrd,0
seem,seem,s,strd,0
in,in,s,considrd,0
outward,outward,s,,
show,show,c,strd,0
",",",",n,,
The,the,s,considrd,0
hollower,hollower,s,,
are,are,s,,
their,their,s,considrd,0
hearts,hearts,c,,
.,.,s,,
By,by,s,considrd,0
subtle,subtle,s,strd,0
sophistry,sophistry,n,,
(,(,c,,
As,as,s,considrd,0
I,i,s,considrd,0
have,have,s,considrd,0
heard,heard,c,,
),),s,,
the,the,s,considrd,0
best,best,s,,
