tokenIndex,original
13,haue
16,vs
30,dismall
34,giue
36,leaue
38,ioy
41,ioy
48,wombe
49,hath
62,vertue
64,Succeede
72,gratious
74,Queene
81,farre
82,vnworthy
99,Iohn
112,sustaine
114,heauy
122,vpon
124,Crowne
150,Fraunce
158,vs
167,gesse
172,doth
182,claime
188,Sonne
191,haue
195,aime
212,Fraunce
215,Highnesse
218,comming
224,will'd
229,Maiestie
236,hath
237,giuen
246,wee
250,heare
265,hauing
276,Brittaine
277,sonne
279,heire
286,requireth
289,behalfe
292,saide
296,kingdome
324,hee
347,giue
355,meanes
357,leaue
366,keepe
374,honour
384,concerne
385,himselfe
393,yeeld
396,returne
413,prowd
433,Brittaines
437,doe
438,defie
442,enemie
451,warres
458,vpon
474,Queene
480,Vpon
485,leaue
487,Armes
491,head-strong
493,prickes
511,sticke
523,herselfe
527,realme
538,Fraunce
547,vncle
570,leaue
574,conuey
593,meane
599,soone
604,fortifie
606,townes
609,possesse
617,Normandie
622,maiesty
632,certaine
642,haue
646,Maiestie
650,Highnesse
652,speciall
655,heare
660,neere
664,wee
665,heare
669,Goe
673,prouision
676,meane
680,passe
695,haue
706,appeale
711,maiesty
716,vnnaturally
723,liuing
725,haue
728,Highnesse
736,owne
741,Lawe
746,Iustice
749,vnlawfully
751,the^selues
754,maner
756,hauing
763,triall
769,Highnes
780,deliuer
782,ouer
785,triall
791,wil
803,quarrell
813,discouer
822,shal
823,haue
824,iustice
850,shamefull
872,assemblie
879,leaue
883,speake
888,Maiestie
892,haue
899,accounteth
906,vnknowne
907,vnto
911,Receiu'd
913,spurres
933,gaue
954,seruice
955,vnder
957,Armes
960,liuing
969,markes
971,euery
972,yeare
987,lawfull
988,heire
993,first-borne
994,sonne
996,heire
999,certaine
1003,auntient
1004,Lawe
1009,selfe
1018,heire
1039,plaine
1043,Speake
1061,heare
1093,doubtfull
1096,euer
1099,heare
1110,heire
1112,Explaine
1114,darke
1127,sonne
1139,Indeede
1144,lawfull
1145,heire
1163,prooue
1174,prooue
1177,doe
1192,heire
1200,gratious
1205,enioy
1207,liuing
1217,possesse
1218,anothers
1221,Prooue
1230,lawe
1232,Vngratious
1242,wombe
1246,didst
1253,eares
1254,abhorre
1256,wickednesse
1262,doth
1263,beate
1264,downe
1269,gratious
1275,reuerend
1281,teares
1285,eies
1289,sighes
1290,blowne
1297,honour
1305,intreate
1308,commaunded
1314,eares
1315,heere
1316,receiue
1327,poysoned
1329,Doth
1332,bowells
1335,soule
1340,vp
1362,selfe
1373,honour
1376,braue
1381,hee
1382,accuseth
1384,adulterie
1386,Heere
1391,vpon
1402,dismisse
1403,vs
1414,aduised
1421,royall
1431,selfe
1433,Sonne
1442,Maiestie
1448,Yong
1469,proofe
1472,proofe
1474,plaine
1484,Highnesse
1493,saue
1496,haue
1498,eies
1503,sweare
1518,Embassadour
1520,Germanie
1521,vnto
1523,Emperour
1537,realme
1547,agen
1551,deliuered
1554,tis
1555,tis
1558,Sixe
1572,looke
1593,confesse
1602,sonne
1605,gratious
1612,sonne
1627,rightfull
1628,sonne
1631,heire
1636,proofe
1641,hast
1646,haue
1651,neede
1654,proofe
1660,saidst
1680,groome
1682,slaunder
1686,honoured
1688,Embassador
1698,cheere
1708,vnto
1713,saist
1714,shee
1716,sixe
1717,weekes
1731,growen
1737,womens
1748,proofes
1755,affaires
1769,saist
1772,looketh
1795,neuer
1798,liuely
1799,counterfet
1816,Iudge
1821,haue
1823,liuing
1830,heare
1835,runne
1851,haue
1855,Harke
1856,yee
1860,twas
1861,twas
1870,Shee
1880,vpon
1884,sonne
1902,iest
1907,craue
1912,Iohn
1922,iust
1927,haue
1937,proofes
1939,friuolous
1942,canst
1944,chalenge
1951,shalt
1956,helpe
1958,claime
1963,doome
1968,doome
1982,know'st
1985,weele
1986,weele
1987,aske
1996,himselfe
2010,liuing
2024,giue
2032,doome
2033,Vnto
2034,themselues
2041,shee
2048,giue
2050,liuing
2052,himselfe
2075,heare
2082,aske
2103,Sonne
2109,Maiesty
2120,aske
2128,thiefe
2130,Aske
2133,sonne
2149,that's
2150,that's
2160,paines
2167,haue
2171,aske
2187,answere
2191,hee
2197,neerest
2208,thinke
2220,agen
2231,euer
2234,wrongd
2240,speake
2269,dreame
2277,saist
2283,auncient
2292,winde
2294,honour
2295,blowes
2297,furie
2302,proceede
2306,Maiestie
2309,thinkes
2311,heare
2314,Eccho
2321,sonne
2322,vnto
2328,leaues
2329,vpon
2340,sonne
2360,musicke
2367,aire
2369,glorie
2378,leaues
2381,mountaines
2383,Eccho
2389,eares
2395,sonne
2413,heauen
2415,Forgetfull
2429,maintaine
2436,farre
2437,vnfitting
2449,minde
2450,Doth
2451,soare
2455,stoupe
2463,knowest
2470,knowest
2478,wilt thou
