tokenIndex,original
12,vs'd
15,seruices
18,Maiesties
19,personall
26,shee
27,pleaseth
36,speciall
43,nobilitie
46,inuention
48,bee
52,dignitie
66,bee
80,vertue
82,obseruing
87,Maiestie
94,principall
106,varietie
112,thinke
118,shew
126,haue
131,foile
138,carefull
149,owne
159,boyes
165,deuis'd
168,twelue
186,suspition
188,credulitie
213,strangenesse
222,vnaptly
233,deuice
235,Maiestie
259,selfe
263,vgly
271,vnto
276,roofe
282,euills
297,obseruation
300,vpon
326,infernall
327,musique
351,eleuen
393,noyse
400,deuice
403,attyre
406,IONES
411,inuention
423,Onely
426,prescrib'd
439,rootes
443,ensignes
446,magick
451,authoritie
475,confesse
478,eleuen
487,vsuall
488,ceremonie
508,sodayne
515,chiefe
535,vpon
543,charme
545,vse
550,shee
585,caues
589,church-yards
593,graues
609,wee
612,shee
618,heate
623,fayre
630,Vp
638,vp
651,bottome
653,thrid
656,rowle
657,vp
662,haue
683,wee'll
684,wee'll
685,trie
687,agen
690,owle
723,o'
725,fountayne
731,doe
741,moone
748,starres
755,skie
766,waxe
770,wooll
773,liuers
775,sticke
779,quicke
785,bloud
789,vp
791,floud
803,Spurre
805,spurre
807,vpon
812,Haue
813,beene
821,Rauen
824,vpon
830,soone
834,turn'd
836,beake
842,snatch'd
844,morsell
851,Haue
852,beene
854,Wolues
855,haires
859,Dogges
865,eares
872,mans
879,euening
880,starre
892,o'the
893,o'the
897,heare
900,grone
903,pluckt
905,vp
921,Cocke
942,priuate
946,publike
958,VNder
963,creepe
974,asleepe
980,suck'd
988,pluck'd
1007,Kill'd
1012,haue
1029,againe
1032,i'the
1033,i'the
1034,taile
1044,chaines
1047,Sunne
1052,shrunke
1054,veines
1063,clipp'd
1065,haire
1071,ragges
1074,danc'd
1075,i'the
1076,i'the
1077,ayre
1081,egges
1086,blacke
1089,bloud
1099,backe
1102,haue
1103,beene
1115,keepe
1134,Night-shade
1141,twise
1145,dogges
1151,tane
1157,iawes
1170,leap'd
1177,backe
1181,againe
1183,Kill'd
1185,blacke
1189,here's
1190,here's
1192,braine
1199,breedes
1200,vnder
1205,charm'd
1217,scratch'd
1223,Owle
1235,haue
1241,haue
1245,helpe
1247,vowes
1252,Cypresse
1253,boughes
1256,fig-tree
1257,fig-tree
1261,growes
1263,tombes
1266,iuice
1276,bloud
1289,let's
1290,let's
1301,bee
1305,selues
1310,haue
1311,quak'd
1320,arme
1321,vs
1323,haue
1325,selues
1326,disarm'd
1333,resign'd
1354,haue
1355,seene
1377,hath
1378,knock'd
1380,skie
1384,hath
1385,thundred
1387,IOVE
1394,haue
1399,warres
1405,sunne
1410,starres
1414,wing'd
1421,hath
1426,riuers
1427,haue
1429,backe
1436,corne
1437,remoue
1440,groues
1456,moone
1462,downe
1464,Poison'd
1477,haue
1478,oft
1480,beene
1489,starre
1497,onely
1498,powerfull
1513,thrise
1521,prophane
1524,foule
1525,inough
1528,doe
1535,roofe
1549,blindnesse
1560,charme
1570,euery
1572,euery
1584,DEepe
1587,leaue
1589,drinke
1600,milke
1603,bloud
1610,floud
1627,couer
1629,warme
1635,harme
1640,dost
1657,ake
1661,backe
1678,forme
1683,NEuer
1685,starre
1697,i'the
1698,i'the
1703,Ouer
1721,stickes
1729,losse
1740,Vp
1747,i'the
1748,i'the
1761,Vnder
1765,ouer
1785,doe
1798,ouer
1802,vnder
1816,storme
1818,raine
1829,i'the
1830,i'the
1832,sayle
1849,sayle
1856,goe
1863,charmes
1864,doe
1866,winne
1867,Vpon
1872,labour
1884,storme
1888,repeate
1890,direfull
1891,voyces
1892,farre
1895,beate
1903,sweate
1905,BArke
1906,dogges
1908,wolues
1909,howle
1912,roare
1915,roule
1917,Cloudes
1918,cracke
1922,blacke
1928,charmes
1929,doe
1937,beginnes
1941,Darkenesse
1943,deuills
1950,Doe
1966,twise
1971,againe
1977,thrise
