tokenIndex,original
9,HIGHNESSE
16,Honourable
28,Iune
37,Kingdome
42,Authour
64,inuention
68,haue
70,Satyre
80,Maiestie
95,certayne
99,diuided
101,seuerall
105,Parke
108,signifie
110,approch
112,aduanced
115,aboue
122,wondring
135,followeth
141,euery
147,neere
154,eare
163,beare
165,Looke
179,bee
188,mee
190,i'le
191,i'le
192,flie
194,abroade
207,hath
224,heauenly
227,Haile
232,Queene
234,Ioy
236,neuer
238,beene
246,greene
252,euening
253,seene
264,feete
269,Markes
273,euer
289,Shee
291,fortie
296,doe
303,Satyre
307,haue
316,runnes
339,doe
349,doth
360,helpe
366,shee
380,Shee
384,countrey
391,cleane
398,nayles
405,vp
420,shooe
421,shee
435,shee
458,siue
478,furrowes
485,stirre
486,vs
488,Shee
497,sleepe
516,promis'd
525,louers
529,emptie
530,dreame
533,Satyre
536,neere
553,Shee
554,inuited
567,thanke
575,deceiue
581,gan
592,haue
593,blowne
600,haue
601,knowne
604,Mistris
608,onely
609,spight
616,Kisse
628,hast
643,haue
662,deuill
664,haue
672,strayne
678,trayne
681,doe
685,plaine
692,againe
697,doe
711,weele
712,weele
713,expresse
715,euery
720,shee
724,shee
731,Euery
739,receiue
748,lesse
751,Doth
752,shee
753,priuate
755,blesse
759,aboue
767,deserue
772,liue
778,shee
813,'tis
814,'tis
822,courtesie
831,Hath
839,allow'd
867,bountie
869,vs
877,vnsent
880,prepar'd
886,farre
888,cheape
904,glorie
911,selfe
917,Vtter
926,giue
934,euer
938,selfe
940,vs
944,haue
950,Queene
956,doe
979,Ladie
982,haue
983,beene
987,Shee
1000,groues
1005,forraine
1006,loues
1018,sauage
1039,fauours
1045,garbe
1047,sauours
1068,neuer
1073,beleeue
1077,brest
1083,mans
1084,iest
1088,preferre
1092,Equall
1100,meane
1111,doth
1114,humour
1168,hath
1169,gouernance
1172,hath
1173,giuen
1175,customes
1179,hath
1182,owne
1203,euen
1204,Enuy
1218,loe
1224,doth
1225,appeare
1241,Deepe
1246,hart
1250,deare
1252,euery
1272,wombe
1274,gaue
1296,vse
1306,boldnesse
1310,lesse
1313,comly
1317,vp
1327,thinke
1329,haue
1336,giues
1350,seruice
1379,horne
1384,worne
1418,Queene
1423,doth
1434,proue
1437,highnesse
1439,doth
1440,loue
1442,Satyres
1450,haue
1453,crown'd
1466,moue
1471,IOVE
1478,Queene
1484,Earles
1490,Pearles
1498,mortall
1499,sinne
1504,lesse
1508,Faire
1518,doth
1541,countrey
1548,choise
1563,Haue
1573,haue
1575,suspition
1595,meane
1607,seene
1613,afore
1615,Queene
1617,ther's
1618,ther's
1622,doth
1636,dauncing
1637,dayes
1644,haue
1661,haue
1670,feete
1678,meete
1684,qualitie
1687,gracefull
1688,propertie
1692,dauncing
1715,Soone
1721,hath
1738,Doe
1742,ile
1743,ile
1744,vndertake
1750,haue
1754,Ladie
1757,loue
1761,Foole
1767,moue
1776,vpon
1782,paire
1796,adoe
1802,Hobby-horse
1806,Foole
1837,bodie
1848,Queenes
1886,Goddesse
1904,Sunne
1906,obiects
1907,farre
1908,remou'd
1913,neere
1922,you'le
1923,you'le
1929,deare
1935,couetous
1937,Doth
1940,selfe
1944,satisfie
1948,vp
1955,yeares
1959,vpon
1964,weares
1971,appeare
1988,starre
1994,hath
1999,warre
2001,Looke
2002,ouer
2008,thinke
2014,vs
2019,vp
2030,speake
2043,euent
2046,crowne
2052,zeale
2056,renowne
2059,vsher
2070,Enuie
2072,strooke
2076,Flatterie
2077,dumbe
2079,LEape
