token,tokenToMatch,endReason,tag,tagIndex
A,a,s,considrd,0
PARTICVLAR,particvlar,s,,
ENTERTAINMENT,entertainment,s,,
OF,of,s,considrd,0
THE,the,s,considrd,0
QVEENE,qveene,s,,
AND,and,s,,
PRINCE,prince,s,,
THEIR,their,s,considrd,0
HIGHNESS,highness,s,strd,0
AT,at,n,considrd,0
ALTHROPE,althrope,c,,
",",",",s,,
AT,at,s,considrd,0
The,the,s,considrd,0
Right,right,s,,
Honorable,honorable,s,strd,0
the,the,s,considrd,0
Lord,lord,s,,
SPENCERS,spencers,c,,
",",",",s,,
on,on,s,,
Satturday,satturday,s,,
being,being,s,,
the,the,s,considrd,0
25,25,c,,
.,.,n,,
of,of,s,considrd,0
June,june,s,strd,0
1603,1603,c,,
.,.,s,,
as,as,s,considrd,0
they,they,s,considrd,0
came,came,s,,
first,first,s,,
into,into,s,considrd,0
the,the,s,considrd,0
Kingdom,kingdom,nn,strd,0
Written,written,s,,
by,by,s,considrd,0
the,the,s,considrd,0
same,same,s,,
Author,author,c,strd,0
",",",",s,,
and,and,s,,
not,not,s,,
before,before,s,,
published,published,c,,
.,.,nn,,
The,the,s,considrd,0
Author,author,s,,
B,b,c,considrd,0
.,.,s,,
I,i,c,considrd,0
.,.,nn,,
LONDON,london,c,,
",",",",s,,
M,m,c,,
.,.,s,,
DC,dc,c,,
.,.,s,,
XVI,xvi,c,,
.,.,nn,,
THe,the,s,considrd,0
invention,invention,s,strd,0
was,was,c,,
",",",",s,,
to,to,s,considrd,0
have,have,s,strd,0
a,a,s,considrd,0
Satyr,satyr,s,strd,0
lodged,lodged,s,,
in,in,s,considrd,0
a,a,s,considrd,0
little,little,s,,
Spinet,spinet,c,,
",",",",s,,
by,by,s,considrd,0
which,which,s,considrd,0
her,her,n,,
Majesty,majesty,c,strd,0
",",",",s,,
and,and,s,,
the,the,s,considrd,0
Prince,prince,s,,
were,were,s,,
to,to,s,considrd,0
come,come,c,,
",",",",s,,
who,who,s,considrd,0
(,(,c,,
at,at,s,considrd,0
the,the,s,considrd,0
report,report,s,,
of,of,s,considrd,0
certain,certain,s,strd,0
Corne^s,corne^s,n,,
that,that,s,considrd,0
were,were,s,,
divided,divided,s,strd,0
in,in,s,considrd,0
several,several,s,strd,0
places,places,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Park,park,c,strd,0
",",",",s,,
to,to,s,considrd,0
signify,signify,s,strd,0
her,her,s,,
approach,approach,c,strd,0
),),n,,
advanced,advanced,s,strd,0
his,his,s,considrd,0
head,head,s,,
above,above,s,strd,0
the,the,s,considrd,0
top,top,s,,
of,of,s,considrd,0
the,the,s,considrd,0
wood,wood,c,,
",",",",s,,
wondering,wondering,c,strd,0
",",",",s,,
and,and,s,,
(,(,c,,
with,with,s,considrd,0
