token,tokenToMatch,endReason,tag,tagIndex
HEre,here,s,,
walk,walk,s,strd,0
Menalchus,menalchus,s,,
on,on,s,,
this,this,s,considrd,0
grassie,grassie,s,,
plain,plain,c,strd,0
",",",",n,,
And,and,s,,
while,while,s,,
the,the,s,considrd,0
wanton,wanton,s,,
lambs,lambs,s,strd,0
feed,feed,s,,
on,on,s,,
these,these,s,,
downs,downs,c,strd,0
",",",",n,,
And,and,s,,
hide,hide,s,,
them,them,s,,
in,in,s,considrd,0
the,the,s,considrd,0
thickets,thickets,s,,
from,from,s,,
the,the,s,considrd,0
Sun,sun,c,strd,0
",",",",n,,
That,that,s,considrd,0
shine,shine,s,,
on,on,s,,
Venus,venus,s,,
stately,stately,s,,
builded,builded,s,,
towers,towers,c,,
",",",",n,,
Discourse,discourse,s,,
to,to,s,considrd,0
aged,aged,s,,
Antimon,antimon,s,,
and,and,s,,
me,me,c,,
",",",",n,,
The,the,s,considrd,0
doleful,doleful,s,strd,0
history,history,s,strd,0
and,and,s,,
that,that,s,considrd,0
drierie,drierie,s,,
tale,tale,c,,
",",",",n,,
That,that,s,considrd,0
erst,erst,s,strd,0
befell,befell,s,,
in,in,s,considrd,0
fatal,fatal,s,strd,0
Arcadie,arcadie,c,,
",",",",n,,
How,how,s,,
poor,poor,s,strd,0
Amyntas,amyntas,s,strd,0
perished,perished,s,strd,0
in,in,s,considrd,0
his,his,s,considrd,0
love,love,c,strd,0
.,.,nn,,
You,you,s,considrd,0
will,will,s,,
me,me,s,,
call,call,s,strd,0
to,to,s,considrd,0
memory,memory,s,strd,0
sweet,sweet,s,,
friends,friends,n,,
The,the,s,considrd,0
countlesse,countlesse,s,,
sorrows,sorrows,s,strd,0
which,which,s,considrd,0
will,will,s,strd,0
fetch,fetch,s,,
forth,forth,s,,
tears,tears,n,strd,0
From,from,s,,
hardest,hardest,s,,
rocks,rocks,c,strd,0
",",",",s,,
and,and,s,,
move,move,s,strd,0
a,a,s,considrd,0
marble,marble,s,,
heart,heart,c,,
",",",",n,,
But,but,s,,
though,though,s,,
my,my,s,considrd,0
mind,mind,s,strd,0
in,in,s,considrd,0
recolecting,recolecting,s,,
tears,tears,c,strd,0
",",",",n,,
With,with,s,considrd,0
horror,horror,s,,
dumb,dumb,c,strd,0
",",",",s,,
and,and,s,,
eke,eke,s,,
would,would,s,,
