token,tokenToMatch,endReason,tag,tagIndex
BE,be,s,considrd,0
not,not,s,,
deceived,deceived,c,strd,0
",",",",s,,
I,i,s,considrd,0
have,have,s,strd,0
no,no,s,considrd,0
bended,bended,s,,
knees,knees,c,,
",",",",n,,
No,no,s,considrd,0
supple,supple,s,,
tongue,tongue,c,,
",",",",s,,
nor,nor,s,,
speeches,speeches,s,,
steeped,steeped,s,strd,0
in,in,s,considrd,0
Oil,oil,c,strd,0
",",",",n,,
No,no,s,considrd,0
candied,candied,s,,
flattery,flattery,c,,
",",",",s,,
nor,nor,s,,
honied,honied,s,,
words,words,c,,
.,.,n,,
I,i,s,considrd,0
come,come,s,,
an,an,s,,
armed,armed,s,,
Prologue,prologue,c,,
:,:,s,,
armed,armed,s,strd,0
with,with,s,considrd,0
Arts,arts,c,,
",",",",n,,
Who,who,s,considrd,0
by,by,s,considrd,0
my,my,s,considrd,0
sacred,sacred,s,,
charms,charms,s,strd,0
and,and,s,,
mystic,mystic,s,strd,0
skill,skill,c,,
",",",",n,,
By,by,s,considrd,0
virtue,virtue,s,strd,0
of,of,s,considrd,0
this,this,s,considrd,0
all-commanding,all-commanding,s,,
Wand,wand,n,,
Stolen,stolen,s,strd,0
from,from,s,,
the,the,s,considrd,0
sleepy,sleepy,s,,
Mercury,mercury,c,,
",",",",s,,
will,will,s,,
raise,raise,n,,
From,from,s,,
black,black,s,strd,0
Abyss,abyss,s,strd,0
and,and,s,,
sutty,sutty,s,,
hell,hell,c,,
",",",",s,,
that,that,s,considrd,0
mirth,mirth,n,,
Which,which,s,considrd,0
fits,fits,s,,
this,this,s,considrd,0
learned,learned,s,,
round,round,c,,
.,.,s,,
Thou,thou,s,considrd,0
long-dead,long-dead,s,,
Show,show,c,,
",",",",n,,
Break,break,s,strd,0
from,from,s,,
thy,thy,s,considrd,0
Marble,marble,s,,
prison,prison,c,,
",",",",s,,
sleep,sleep,s,strd,0
no,no,s,considrd,0
more,more,n,,
In,in,s,considrd,0
myrie,myrie,s,,
darkness,darkness,c,strd,0
",",",",s,,
henceforth,henceforth,s,strd,0
I,i,s,considrd,0
forbid,forbid,s,,
thee,thee,n,,
To,to,s,considrd,0
bathe,bathe,s,,
in,in,s,considrd,0
Lethe's,lethe's,s,,
muddy,muddy,s,,
waves,waves,c,strd,0
",",",",s,,
ascend,ascend,n,,
As,as,s,considrd,0
bright,bright,s,,
as,as,s,considrd,0
morning,morning,s,,
from,from,s,,
her,her,s,,
Tithons,tithons,s,,
bed,bed,c,,
",",",",n,,
And,and,s,,
red,red,s,considrd,0
with,with,s,considrd,0
kisses,kisses,s,,
that,that,s,considrd,0
have,have,s,strd,0
stained,stained,s,strd,0
thy,thy,s,considrd,0
cheek,cheek,c,strd,0
",",",",n,,
Grow,grow,s,,
fresh,fresh,s,,
again,again,c,strd,0
:,:,s,,
What,what,c,,
?,?,s,,
is,is,s,considrd,0
my,my,s,considrd,0
power,power,s,,
contemned,contemned,c,,
?,?,n,,
Do,do,s,strd,0
thou,thou,s,considrd,0
not,not,s,,
hear,hear,s,strd,0
my,my,s,considrd,0
call,call,c,,
",",",",s,,
whose,whose,s,,
power,power,s,,
extends,extends,n,,
To,to,s,considrd,0
blast,blast,s,,
the,the,s,considrd,0
bosom,bosom,s,strd,0
of,of,s,considrd,0
our,our,s,,
mother,mother,s,,
Earth,earth,c,,
?,?,n,,
To,to,s,considrd,0
remove,remove,s,strd,0
heavens,heavens,s,strd,0
whole,whole,s,,
frame,frame,s,,
from,from,s,,
off,off,s,,
her,her,s,,
hinges,hinges,c,,
",",",",n,,
As,as,s,considrd,0
to,to,s,considrd,0
reuerse,reuerse,s,,
all,all,s,,
Natures,natures,s,,
laws,laws,c,strd,0
?,?,s,,
Ascend,ascend,c,,
",",",",n,,
Or,or,s,considrd,0
I,i,s,considrd,0
will,will,s,,
call,call,s,,
a,a,s,considrd,0
band,band,s,,
of,of,s,considrd,0
Furies,furies,s,,
forth,forth,c,strd,0
",",",",n,,
And,and,s,,
all,all,s,,
the,the,s,considrd,0
Torments,torments,s,,
wit,wit,s,,
of,of,s,considrd,0
hell,hell,s,,
can,can,s,,
frame,frame,n,,
Shall,shall,s,considrd,0
force,force,s,,
thee,thee,s,,
up,up,c,strd,0
.,.,nn,,
O,o,s,,
spare,spare,s,,
your,your,s,,
too,too,s,,
officious,officious,s,,
whips,whips,s,,
a,a,s,considrd,0
while,while,c,,
",",",",n,,
Give,give,s,strd,0
some,some,s,,
small,small,s,,
respit,respit,s,,
to,to,s,considrd,0
my,my,s,considrd,0
panting,panting,s,,
limbs,limbs,c,,
",",",",n,,
Let,let,s,,
me,me,s,,
have,have,s,strd,0
leave,leave,s,strd,0
to,to,s,considrd,0
speak,speak,c,strd,0
",",",",s,,
and,and,s,,
truce,truce,s,,
to,to,s,considrd,0
parlie,parlie,c,,
",",",",n,,
Whose,whose,s,,
powerful,powerful,s,strd,0
voice,voice,s,strd,0
has,has,s,strd,0
forced,forced,s,strd,0
me,me,s,,
to,to,s,considrd,0
salute,salute,n,,
This,this,s,considrd,0
hated,hated,s,,
air,air,c,strd,0
!,!,s,,
are,are,s,,
not,not,s,,
my,my,s,considrd,0
pains,pains,s,strd,0
sufficient,sufficient,c,,
",",",",n,,
But,but,s,,
you,you,s,considrd,0
must,must,s,,
torture,torture,s,,
me,me,s,,
with,with,s,considrd,0
the,the,s,considrd,0
sad,sad,s,,
remembrance,remembrance,n,,
Of,of,s,considrd,0
my,my,s,considrd,0
deserts,deserts,c,,
",",",",s,,
the,the,s,considrd,0
Causes,causes,s,,
of,of,s,considrd,0
my,my,s,considrd,0
exile,exile,c,,
?,?,nn,,
It,it,s,strd,0
Is,is,s,strd,1
thy,thy,s,considrd,0
release,release,s,,
I,i,s,considrd,0
seek,seek,c,strd,0
",",",",s,,
I,i,s,considrd,0
come,come,s,,
to,to,s,considrd,0
file,file,n,,
Those,those,s,,
heavy,heavy,s,strd,0
