tokenIndex,original
22,royall
23,Vniuersity
26,haue
28,ouer
32,terrestriall
36,Geometricall
67,Ale-house
81,diuine
87,lawfull
117,seuen
129,foure
130,liberall
131,sinnes
139,he's
140,he's
143,recompence
149,haue
150,beene
153,trauell
159,giue
162,iests
165,deliuerance
169,maintaine
194,haue
209,heare
234,sweare
252,souldier
256,heeles
273,neuer
278,salt-Peter
286,voyce
295,musick
298,Maximes
300,warres
311,vnlesse
324,hornes
340,Iustice
346,sweare
357,neuer
358,kist
372,poore
375,haue
380,braines
400,haue
412,haue
444,haue
448,throughly
455,haue
456,beene
457,halfe
463,doe
473,Scholler
477,thanke
479,starres
482,haue
506,thred-bare
507,blacke
508,Cloke
511,lookes
517,Liuery
520,Scholler
525,doe
527,meane
529,braines
559,vnderstanding
561,royall
567,heroicall
572,Pedler
577,Pedler
581,what's
582,what's
600,honourable
601,selfe
608,Pedler
626,moueable
635,vniuerse
648,heauenly
655,Pedler
663,braue
669,faire
671,i'll
672,i'll
678,that's
679,that's
682,gaines
688,laught
692,paines
700,haue
707,neuer
717,beare
719,backe
730,deare
732,tak't
733,tak't
741,iesting
748,Strang
751,you'l
752,you'l
758,vp
774,lawfull
791,vaine
793,breake
801,braine
803,Halfe
804,haue
822,Anothers
831,foure
841,crosse
844,do's
851,iests
858,heer's
859,heer's
880,summes
895,grieues
905,taile
909,houre
912,fiue
940,Vpon
968,neuer
970,gaue
971,mee
976,coyning
983,speake
986,be't
987,be't
994,totall
995,summs
1003,sayes
1010,runne
1016,Poore
1018,braines
1023,i'l
1024,i'l
1030,iest
1032,nought
1034,haue
1041,doe
1043,thinke
1045,Sacke
1059,haue
1063,needes
1069,payd
1083,fellowes
1086,haue
1087,secur'd
1098,poore
1099,aduentures
1101,i'm
1102,i'm
1119,ile
1120,ile
1133,i'l
1134,i'l
1135,shew
1137,halfe
1142,poynts
1145,giue
1157,haue
1168,vnderstanding
1170,poynt
1177,terme
1185,mans
1192,ioyne
1208,speake
1236,neuer
1237,beene
1249,it's
1250,it's
1259,plaine
