token,tokenToMatch,endReason,tag,tagIndex
THis,this,s,considrd,0
sixtenth,sixtenth,s,,
year,year,s,strd,0
of,of,s,considrd,0
mine,mine,s,strd,0
age,age,s,,
(,(,c,,
right,right,s,strd,0
honorable,honorable,c,,
),),s,,
renews,renews,s,strd,0
a,a,s,considrd,0
grateful,grateful,s,strd,0
memory,memory,n,,
of,of,s,considrd,0
your,your,s,,
great,great,s,considrd,0
goodness,goodness,s,strd,0
toward,toward,s,strd,0
me,me,c,strd,0
:,:,s,,
(,(,c,,
for,for,s,considrd,0
at,at,s,considrd,0
Baptism,baptism,s,strd,0
your,your,s,,
honor,honor,s,,
vouchsafed,vouchsafed,s,,
to,to,n,considrd,0
aunsweare,aunsweare,s,,
for,for,s,considrd,0
me,me,c,strd,0
):,):,s,,
and,and,s,,
causes,causes,s,strd,0
me,me,s,strd,0
thus,thus,s,,
boldly,boldly,s,,
to,to,s,considrd,0
present,present,s,,
these,these,s,,
green,green,s,strd,0
and,and,n,,
vnmelowed,vnmelowed,s,,
fruicts,fruicts,s,,
of,of,s,considrd,0
my,my,s,considrd,0
first,first,s,,
truailes,truailes,s,,
unto,unto,s,strd,0
you,you,c,considrd,0
:,:,s,,
as,as,s,considrd,0
signs,signs,s,strd,0
and,and,s,,
testimonies,testimonies,s,,
of,of,s,considrd,0
a,a,n,considrd,0
well,well,s,,
disposed,disposed,s,,
mind,mind,s,strd,0
unto,unto,s,strd,0
your,your,s,,
honor,honor,c,,
.,.,s,,
Albeit,albeit,s,,
when,when,s,,
first,first,s,,
I,i,s,considrd,0
undertook,undertook,s,strd,0
the,the,n,considrd,0
translation,translation,s,,
of,of,s,considrd,0
this,this,s,considrd,0
present,present,s,,
Tragoedy,tragoedy,c,,
",",",",s,,
I,i,s,considrd,0
minded,minded,s,,
nothing,nothing,s,,
less,less,c,strd,0
",",",",s,,
than,than,s,,
that,that,s,considrd,0
at,at,s,considrd,0
any,any,n,,
time,time,s,strd,0
thus,thus,s,,
rudely,rudely,s,,
transformed,transformed,s,,
it,it,s,,
should,should,s,strd,0
come,come,s,,
into,into,s,considrd,0
the,the,s,considrd,0
Printers,printers,s,,
hands,hands,c,,
.,.,s,,
For,for,s,considrd,0
I,i,s,considrd,0
to,to,n,considrd,0
none,none,s,,
other,other,s,,
end,end,s,strd,0
removed,removed,s,strd,0
him,him,c,,
",",",",s,,
from,from,s,,
his,his,s,considrd,0
natural,natural,s,strd,0
and,and,s,,
lofty,lofty,s,,
style,style,c,,
",",",",s,,
to,to,s,considrd,0
our,our,s,,
corrupt,corrupt,n,,
and,and,s,,
base,base,c,,
",",",",s,,
or,or,s,considrd,0
as,as,s,considrd,0
some,some,s,,
men,men,s,,
(,(,c,,
but,but,s,,
untruly,untruly,c,strd,0
),),s,,
affirm,affirm,s,strd,0
it,it,c,,
",",",",s,,
most,most,s,,
barbarous,barbarous,s,,
Language,language,c,,
:,:,s,,
but,but,n,,
only,only,s,strd,0
to,to,s,considrd,0
satisfy,satisfy,s,,
the,the,s,considrd,0
instant,instant,s,,
requests,requests,s,,
of,of,s,considrd,0
a,a,s,considrd,0
few,few,s,,
my,my,s,considrd,0
familiar,familiar,s,,
friends,friends,c,strd,0
",",",",s,,
who,who,s,considrd,0
thought,thought,n,,
to,to,s,considrd,0
have,have,s,strd,0
put,put,s,,
it,it,s,,
to,to,s,considrd,0
the,the,s,considrd,0
very,very,s,,
same,same,s,,
use,use,c,strd,0
",",",",s,,
that,that,s,considrd,0
SENECA,seneca,s,,
himself,himself,s,strd,0
in,in,s,considrd,0
his,his,s,considrd,0
Invention,invention,n,strd,0
pretended,pretended,c,,
:,:,s,,
Which,which,s,strd,0
was,was,s,,
by,by,s,considrd,0
the,the,s,considrd,0
tragical,tragical,s,strd,0
and,and,s,,
Pompous,pompous,s,,
show,show,s,strd,0
upon,upon,s,strd,0
Stage,stage,c,,
",",",",s,,
to,to,n,considrd,0
admonish,admonish,s,,
all,all,s,,
men,men,s,,
of,of,s,considrd,0
their,their,s,considrd,0
fickle,fickle,s,,
Estates,estates,c,,
",",",",s,,
to,to,s,considrd,0
declare,declare,s,,
the,the,s,considrd,0
unconstant,unconstant,s,strd,0
head,head,s,,
of,of,n,considrd,0
wavering,wavering,s,strd,0
Fortune,fortune,c,,
",",",",s,,
her,her,s,,
sudden,sudden,s,strd,0
interchaunged,interchaunged,s,,
and,and,s,,
soon,soon,s,strd,0
altered,altered,s,,
Face,face,c,,
:,:,s,,
and,and,s,,
lively,lively,n,strd,0
to,to,s,considrd,0
express,express,s,strd,0
the,the,s,considrd,0
just,just,s,strd,0
revenge,revenge,c,strd,0
",",",",s,,
and,and,s,,
fearful,fearful,s,strd,0
punishments,punishments,s,strd,0
of,of,s,considrd,0
horrible,horrible,s,,
Crimes,crimes,c,,
",",",",n,,
wherewith,wherewith,s,,
the,the,s,considrd,0
wretched,wretched,s,,
world,world,s,strd,0
in,in,s,considrd,0
these,these,s,,
our,our,s,,
miserable,miserable,s,strd,0
days,days,s,strd,0
pyteously,pyteously,s,,
swarmeth,swarmeth,c,,
.,.,n,,
This,this,s,considrd,0
caused,caused,s,,
me,me,s,,
not,not,s,,
to,to,s,considrd,0
be,be,s,considrd,0
precise,precise,s,,
in,in,s,considrd,0
following,following,s,,
the,the,s,considrd,0
Author,author,c,,
",",",",s,,
word,word,s,,
for,for,s,considrd,0
word,word,c,,
:,:,s,,
but,but,n,,
sometimes,sometimes,s,strd,0
by,by,s,considrd,0
addition,addition,c,,
",",",",s,,
sometimes,sometimes,s,strd,0
by,by,s,considrd,0
subtraction,subtraction,c,,
",",",",s,,
to,to,s,considrd,0
use,use,s,strd,0
the,the,s,considrd,0
aptest,aptest,s,,
Phrases,phrases,s,,
in,in,n,considrd,0
giving,giving,s,strd,0
the,the,s,considrd,0
Sense,sense,s,strd,0
that,that,s,considrd,0
I,i,s,considrd,0
could,could,s,,
invent,invent,c,strd,0
.,.,s,,
VVhereat,vvhereat,s,,
a,a,s,considrd,0
great,great,s,considrd,0
number,number,s,strd,0
(,(,c,,
I,i,s,considrd,0
know,know,c,,
),),s,,
will,will,s,,
be,be,n,considrd,0
more,more,s,,
offended,offended,s,,
than,than,s,,
Reason,reason,s,,
or,or,s,considrd,0
VVysedome,vvysedome,s,,
would,would,s,strd,0
they,they,s,considrd,0
should,should,s,,
be,be,c,strd,0
.,.,s,,
Thus,thus,s,,
as,as,s,considrd,0
I,i,s,considrd,0
framed,framed,n,,
it,it,s,,
to,to,s,considrd,0
one,one,s,,
purpose,purpose,c,,
:,:,s,,
so,so,s,,
have,have,s,strd,0
my,my,s,considrd,0
friends,friends,s,strd,0
(,(,c,,
to,to,s,considrd,0
whom,whom,s,,
I,i,s,considrd,0
can,can,s,,
not,not,s,,
well,well,s,,
deny,deny,s,,
any,any,s,,
thing,thing,n,strd,0
that,that,s,considrd,0
Frendshyps,frendshyps,s,,
right,right,s,strd,0
may,may,s,,
seem,seem,s,strd,0
justly,justly,s,strd,0
to,to,s,considrd,0
require,require,c,strd,0
),),s,,
wrested,wrested,s,,
it,it,s,,
to,to,s,considrd,0
another,another,n,,
effect,effect,c,,
:,:,s,,
and,and,s,,
by,by,s,considrd,0
this,this,s,considrd,0
means,means,s,strd,0
blown,blown,s,strd,0
it,it,s,,
abroad,abroad,c,strd,0
",",",",s,,
by,by,s,considrd,0
ouerrash,ouerrash,s,,
and,and,s,,
unadvised,unadvised,n,strd,0
printing,printing,c,,
.,.,s,,
By,by,s,considrd,0
which,which,s,strd,0
fond,fond,s,,
deed,deed,s,strd,0
I,i,s,considrd,0
know,know,s,,
undoubtedly,undoubtedly,s,strd,0
I,i,s,considrd,0
shall,shall,s,considrd,0
receive,receive,s,strd,0
the,the,s,considrd,0
poisoned,poisoned,n,strd,0
infamies,infamies,c,,
",",",",s,,
of,of,s,considrd,0
a,a,s,considrd,0
number,number,s,,
of,of,s,considrd,0
venomous,venomous,s,strd,0
tongues,tongues,c,strd,0
",",",",s,,
Wherefore,wherefore,s,strd,0
(,(,c,,
right,right,s,strd,0
honorable,honorable,c,,
),),s,,
as,as,s,considrd,0
I,i,n,considrd,0
give,give,s,strd,0
these,these,s,,
the,the,s,considrd,0
first,first,s,,
Fruicts,fruicts,s,,
of,of,s,considrd,0
my,my,s,considrd,0
travail,travail,s,strd,0
unto,unto,s,strd,0
you,you,c,considrd,0
:,:,s,,
declaring,declaring,s,,
therein,therein,s,,
the,the,n,considrd,0
great,great,s,considrd,0
goodwyll,goodwyll,s,,
and,and,s,,
duty,duty,s,strd,0
that,that,s,considrd,0
I,i,s,considrd,0
owe,owe,s,,
unto,unto,s,strd,0
your,your,s,,
Honor,honor,c,,
",",",",s,,
for,for,s,considrd,0
the,the,s,considrd,0
noble,noble,s,,
disposition,disposition,n,,
of,of,s,considrd,0
your,your,s,,
virtuous,virtuous,s,strd,0
mind,mind,c,strd,0
:,:,s,,
so,so,s,,
am,am,s,,
I,i,s,considrd,0
driven,driven,s,strd,0
humbly,humbly,s,considrd,0
to,to,s,considrd,0
require,require,s,,
your,your,s,,
strong,strong,s,,
aid,aid,c,strd,0
",",",",s,,
and,and,n,,
assured,assured,s,,
defense,defense,s,strd,0
against,against,s,strd,0
the,the,s,considrd,0
sclaunderous,sclaunderous,s,,
assaults,assaults,s,,
of,of,s,considrd,0
such,such,s,,
malicious,malicious,s,,
mouths,mouths,c,,
",",",",n,,
which,which,s,considrd,0
obtained,obtained,c,strd,0
:,:,s,,
I,i,s,considrd,0
shall,shall,s,strd,0
be,be,s,strd,1
the,the,s,considrd,0
better,better,s,,
encouraged,encouraged,s,,
against,against,s,strd,0
an,an,s,,
other,other,s,,
time,time,c,,
",",",",s,,
to,to,s,considrd,0
bestow,bestow,n,,
my,my,s,considrd,0
travail,travail,s,strd,0
in,in,s,considrd,0
matters,matters,s,,
of,of,s,considrd,0
far,far,s,strd,0
greater,greater,s,,
weighte,weighte,s,,
and,and,s,,
importance,importance,c,strd,0
.,.,s,,
In,in,s,considrd,0
the,the,s,considrd,0
mean,mean,n,strd,0
season,season,s,,
(,(,c,,
desiring,desiring,s,,
your,your,s,,
Honor,honor,s,strd,0
to,to,s,considrd,0
take,take,s,considrd,0
these,these,s,,
simple,simple,s,,
Attemptes,attemptes,s,,
of,of,s,considrd,0
mine,mine,s,strd,0
in,in,s,considrd,0
good,good,n,,
part,part,c,,
:),:),s,,
I,i,s,considrd,0
leave,leave,s,strd,0
you,you,s,considrd,0
to,to,s,considrd,0
the,the,s,considrd,0
tuitio^,tuitio^,s,,
of,of,s,considrd,0
the,the,s,considrd,0
right,right,s,,
high,high,s,,
and,and,s,,
mighty,mighty,s,,
God,god,c,,
:,:,s,,
Who,who,s,strd,0
keep,keep,n,strd,0
you,you,s,considrd,0
long,long,s,,
in,in,s,considrd,0
health,health,c,,
",",",",s,,
and,and,s,,
grant,grant,s,strd,0
you,you,s,considrd,0
many,many,s,,
happy,happy,s,,
years,years,c,strd,0
:,:,s,,
with,with,s,considrd,0
increase,increase,s,strd,0
of,of,s,considrd,0
Honor,honor,nn,,
All,all,s,,
your,your,s,,
Honors,honors,s,strd,0
to,to,s,considrd,0
command,command,c,strd,0
.,.,s,,
Alexander,alexander,s,,
Neuile,neuile,c,,
.,.,n,,
BEHOLD,behold,s,,
HERE,here,s,,
BEFORE,before,s,,
THY,thy,s,considrd,0
Face,face,s,,
(,(,c,,
good,good,s,,
Reader,reader,c,,
),),s,,
the,the,s,considrd,0
most,most,s,,
lamentable,lamentable,s,,
Tragedy,tragedy,s,,
of,of,s,considrd,0
that,that,n,considrd,0
most,most,s,,
Unfortunate,unfortunate,s,strd,0
Prince,prince,s,,
O,o,s,,
Edipus,edipus,c,,
",",",",s,,
for,for,s,considrd,0
thy,thy,s,considrd,0
profit,profit,s,,
rudely,rudely,s,,
translated,translated,c,,
.,.,s,,
Wonder,wonder,s,,
not,not,n,,
at,at,s,considrd,0
the,the,s,considrd,0
grosenesse,grosenesse,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Style,style,c,,
:,:,s,,
neither,neither,s,strd,0
yet,yet,s,,
accounte,accounte,s,,
the,the,s,considrd,0
Inuentours,inuentours,s,,
Dylygence,dylygence,n,,
dysgraced,dysgraced,s,,
by,by,s,considrd,0
the,the,s,considrd,0
Translators,translators,s,,
Negligence,negligence,c,strd,0
:,:,s,,
Who,who,s,strd,0
though,though,s,strd,0
that,that,s,considrd,0
he,he,s,considrd,0
has,has,s,strd,0
sometimes,sometimes,n,strd,0
boldly,boldly,s,,
presumed,presumed,s,,
to,to,s,considrd,0
err,err,s,strd,0
from,from,s,,
his,his,s,considrd,0
Author,author,c,,
",",",",s,,
rouing,rouing,s,,
at,at,s,considrd,0
randon,randon,s,,
where,where,s,strd,0
he,he,s,considrd,0
list,list,c,,
:,:,n,,
adding,adding,s,,
and,and,s,,
subtracting,subtracting,s,,
at,at,s,considrd,0
pleasure,pleasure,c,,
:,:,s,,
yet,yet,s,,
let,let,s,,
not,not,s,,
that,that,s,considrd,0
engender,engender,s,,
disdaynefull,disdaynefull,n,,
suspicion,suspicion,s,strd,0
with,with,s,strd,0
in,in,s,considrd,0
thy,thy,s,considrd,0
learned,learned,s,,
breast,breast,c,,
.,.,s,,
Mark,mark,s,strd,0
thou,thou,s,considrd,0
rather,rather,s,,
what,what,s,strd,0
is,is,s,considrd,0
meant,meant,s,strd,0
by,by,s,considrd,0
the,the,n,considrd,0
whole,whole,s,strd,0
course,course,s,,
of,of,s,considrd,0
the,the,s,considrd,0
History,history,c,,
:,:,s,,
and,and,s,,
frame,frame,s,,
thy,thy,s,considrd,0
life,life,s,strd,0
free,free,s,,
from,from,s,,
such,such,s,,
mischiefs,mischiefs,c,strd,0
",",",",n,,
vvherevvith,vvherevvith,s,,
the,the,s,considrd,0
World,world,s,,
at,at,s,considrd,0
this,this,s,considrd,0
present,present,s,,
is,is,s,considrd,0
universally,universally,s,strd,0
overwhelmed,overwhelmed,c,strd,0
",",",",s,,
The,the,n,considrd,0
vvrathfull,vvrathfull,s,,
