tokenIndex,original
3,darkned
8,doth
9,keepe
11,Loe
12,heere
17,agayne
22,deepe
32,doe
33,stande
65,feare
71,sinewes
89,olde
100,Greekes
102,prynces
104,doe
107,royall
108,crowne
111,heere
116,lye
120,vp
122,downe
128,theyr
132,heere
133,theyr
135,doe
140,theyr
143,banquetting
145,returne
159,lothsome
168,doth
169,aduaunce
184,blacke
188,Carkasse
194,wheele
195,doth
196,racke
201,vpon
203,selfe
208,oft
210,vayne
212,toyle
222,backe
223,agayne
234,rauening
239,vp
245,waues
262,payes
275,olde
278,stept
280,yeares
294,mee
302,wee
310,founde
316,Iudge
320,doth
330,deedes
332,farre
341,yelde
349,bloudy
350,brest
354,haue
358,euen
361,chyldren
366,lye
371,haue
372,theyr
375,mee
385,vp
387,haue
392,mee
396,doth
397,depraue
419,shee
420,doth
424,speake
428,doe
435,haynous
436,deede
444,stocke
449,proceede
453,driuen
462,Doth
463,breede
464,younge
470,wombe
471,wt
472,sinfull
473,seede
475,myne
477,Loe
480,chaunged
482,downe
492,hath
493,shee
508,loe
531,Nephewes
532,bee
537,runnes
542,doth
543,confounde
549,sonnes
552,chrystall
560,beames
562,bryght
569,cloudes
572,darkenesse
575,nyght
578,wickednes
581,vs
589,Euen
593,deedes
599,passe
602,valiaunt
604,hee
606,captayne
609,Hoste
617,Kinges
631,braue
635,royall
636,sorte
640,sayle
645,garde
648,parte
655,sayles
663,beateth
666,bankes
671,floweth
680,Zodiack
684,auer
685,runne
691,Walles
692,doe
693,lye
704,yeelde
706,throate
707,vnto
710,Wyfe
717,bloudy
723,lyfe
736,moe
739,bloud
741,bloud
748,floore
763,geuen
766,braynes
769,abroade
779,marcheth
786,doth
787,appeare
792,doth
793,approche
797,draweth
798,neare
801,honour
820,Fy
823,doth
841,doe
846,doth
848,fayle
857,shouldst
860,aduyse
866,demaunding
871,enterpryse
879,beseeme
883,mayst
890,hapneth
896,sommers
903,shoulde
905,sonne
907,lyght
913,turnes
919,lynger
920,longe
928,doth
929,puffe
932,amonge
936,doth
940,starres
948,Wee
955,Worlde
956,bryng
967,dost
968,fayle
973,kinges
982,thinges
994,neuer
996,calme
1002,fou^d
1009,doth
