tokenIndex,original
1,thirde
3,shoulde
4,haue
5,beene
9,Maiestie
20,vnfit
31,haue
32,beene
43,spake
52,highnes
76,gouernours
95,therfore
100,duety
103,Maiestye
119,shepheards
120,starre
135,vs
145,aske
151,resolued
164,whome
167,shepheards
169,haue
178,liues
182,cou^try
183,quietnes
193,commaunds
203,shepheards
209,shepheards
215,ioyful
237,meane
240,Maiestie
243,meane
249,shepheards
250,blacke
255,humilitie
264,eie
268,deuices
272,eare
276,wordes
291,shal
298,Maiesty
303,amonge
305,shepheards
306,amonge
307,whome
313,Queene
320,beganne
326,hath
328,beane
330,shalbe
331,shalbe
340,shee
341,shalbe
342,shalbe
343,Queene
345,haue
352,Queene
356,beane
368,Queene
373,commaunde
377,haue
384,coulde
386,commaunde
388,subiects
393,Queene
395,hath
396,commaunded
399,yeeld
405,compasse
408,authoritie
410,aske
416,beginne
420,loue
423,meane
425,loue
434,loue
457,aske
461,steepe
471,stoode
475,louing
480,louing
486,haue
497,owne
498,Iudge
501,doth
504,euer
507,vvoman
511,neuer
525,carelesse
527,fonde
531,vvhen
536,fearefull
539,vnlesse
546,commaunde
552,sirra
563,vvill
565,haue
571,commaundement
576,Queene
581,harde
587,anie
588,commaundement
622,haue
631,haue
640,HEarbes
642,wordes
649,haue
652,Hearbes
654,wordes
660,vsed
663,loued
665,Hearbes
666,smels
670,winde
673,hardnes
674,haue
681,wordes
684,hearbes
686,minde
688,moued
691,askt
698,womans
701,Mongst
702,hearbes
704,weedes
711,Deceite
717,speakes
718,wordes
726,haue
736,shee
737,saide
739,fancie
743,gaz'd
745,shee
746,saide
748,lookes
755,deade
757,shee
758,saide
760,loue
762,choaked
766,vp
768,shee
769,saide
771,thoughtes
773,dauncing
777,loue
780,haue
788,winne
796,wel
799,seldome
802,amonge
803,shepheards
814,lookes
818,onlie
828,vvise
830,carying
832,sheepes
833,eie
836,calfs
837,heade
847,Halfe
851,eache
855,worke
858,beare
863,breake
867,vnlesse
872,mouthe
876,haue
877,forsworne
890,sommer
905,crafte
908,knocke
913,wil
916,faste
935,aske
942,loue
945,youe
951,fantasticall
956,loue
963,loue
967,partes
970,containe
983,loue
991,foole
1000,vaine
1003,hauing
1006,foote
1009,careth
1012,deepe
1017,vs
1031,vs
1034,vvho
1035,hath
1039,meane
1056,euer
1057,carrie
1061,knowe
1064,vvaies
1067,euerie
1069,tovvne
1076,faire
1084,seuenth
1088,happines
1099,eleuenth
1102,wo^der
1105,moone
1108,ful
1110,tis
1111,tis
1116,neuer
1129,shepheards
1130,deuises
1137,sommer
1139,goeth
1144,signe
1154,shalbe
1155,shalbe
1161,necessitie
1168,shalbe
1169,shalbe
1176,haue
1182,braines
1190,shalbe
1191,shalbe
1201,fauoured
1210,shal
1211,haue
1214,laboure
1217,paines
1222,combes
1224,ful
1227,shalbe
1228,shalbe
1232,warre
1233,shal
1239,honie
1242,foure
1245,clocke
1249,shal
1250,appeare
1252,worldes
1255,leades
1258,euery
1270,Maiesty
1274,al the
1275,al the
1276,shepheards
1289,houre
1293,starre
1297,Soueraigne
1299,poore
1300,shepheards
1304,bolde
1305,shepheards
1311,selues
1314,Queenes
1326,Queene
1333,sunne
1339,looseth
1341,brightnes
1344,sheweth
1353,vpon
1354,shepheards
1361,breede
1363,feare
1368,drawen
1370,colours
1374,brasse
1377,engrauen
1387,Queenes
1394,Shepheards
1401,lesse
1409,haue
1411,Emperours
1417,forgotte^
1421,dueties
1438,Maiesty
1441,blindnes
1446,shepheards
1447,weedes
1453,Maiestye
1459,weare
1470,happines
1473,labours
