tokenIndex,original
1,pardon'd
4,return'd
18,generall
32,easie
35,prepard
59,Arch-Duke
63,compel'd
93,Civill
104,murthering
112,extreame
114,inforc'd
120,th'army
121,th'army
135,favour
144,comming
149,'tis
150,'tis
162,beliefe
173,'tis
174,'tis
176,certaine
183,Arch-Dukes
191,secur'd
202,return'd
214,curs'd
215,meanes
242,favour
261,yeild
294,passe
299,sixteene
303,banish'd
310,stormes
393,choyce
403,successe
413,vertue
426,mans
430,you'ld
431,you'ld
451,oft
456,vaine
477,Generall
483,arm'd
485,advanc'd
490,wals
496,plaid
508,carelesse
514,carefull
533,dar'd
540,triall
563,cald
564,low'd
572,sodainly
581,horse-men
635,honour
645,himselfe
677,aime
723,Campe
725,strake
735,honour
737,himselfe
744,successe
749,Campe
750,receiv'd
764,faire
776,yong
787,kiss'd
800,goodnesse
818,valour
822,recompence
833,what's
834,what's
837,Aske
840,that's
841,that's
855,assur'd
860,princesse
863,stil'd
867,bloud
871,soule
873,Souldiers
883,repeale
888,plaine
921,Arch-duke
943,pardon'd
945,'tis
946,'tis
974,wil
998,Lawes
1016,honour
1045,powerfull
1054,i'le
1055,i'le
1071,arme
1092,hath
1094,encreas'd
1099,cal'd
1123,talk'd
1145,hopefull
1148,i'le
1149,i'le
1171,oathes
1178,deedes
1184,uselesse
1203,ruffe
1207,starch'd
1231,cleane
1245,on't
1246,on't
1251,Iaques
1252,helpe
1328,heare
1336,womens
1346,yong
1350,Mistris
1358,wil
1362,devill
1415,sirha
1444,hath
1472,dores
1484,wel
1509,inclin'd
1546,mayd
1549,governour
1607,wil
1628,blesse
1701,desperatly
1724,eys
1776,ha'st
1798,what's
1799,what's
1817,returne
1820,wil
1831,possesse
1833,wholy
1856,Hath
1857,pour'd
1882,'tis
1883,'tis
1896,shalt
1912,hast
1936,Bestow'd
1941,shalt
1958,hadst
1974,joyes
1994,behaviour
2006,soules
2034,despair'd
2045,houre
2051,begining
2063,shalt
2064,appeare
2087,conceal'd
2091,shalt
2101,didst
2146,learne
2154,do'st
2162,chaire
2174,chaine
2179,night-Cap
2186,accompts
2199,Hath
2206,Mistris
2208,mourn'd
2221,Us'd
2239,Musique
2254,palat
2258,Ladiship
2263,tis
2264,tis
2279,gon
2300,practise
2305,that's
2306,that's
2358,wil
2364,sutable
2371,wee'l
2372,wee'l
2397,gladnesse
2408,Entring
2434,term'd
2439,compel'd
2450,knowes
2469,charg'd
2475,sodainly
2519,houres
2545,Jewell
2550,Kisse
2573,behaviour
2578,i'the
2579,i'the
2592,custome
2594,chang'd
2602,softnesse
2612,cruell
2617,Impos'd
2621,sweetnesse
2623,burthens
2638,sinewes
2646,Souldier
2656,naturall
2665,entertaine
2667,proffer'd
2672,bosome
2675,shalt
2691,hath
2693,alter'd
2714,us'd
2736,gaine-say
2764,appeare
2766,Endeavour
2777,entring
2789,Musick
2793,voyce
2796,touch'd
2798,eare
2802,hath
2813,soule
2827,joyes
2835,vertues
2845,th'assurance
2846,th'assurance
2862,dreame
2876,feele
2879,restor'd
2887,againe
2893,wish'd
2897,tis
2898,tis
2926,finde
2935,surfet
2939,wish'd
2952,kisse
2962,Civill
2978,selfe
2989,joyes
3012,selfe
3052,rellish
3076,yeild
3078,Accompt
3093,preserv'd
3095,Jewell
3097,lock'd
3108,forc'd
3114,Suffer'd
3116,civill
3119,Doe
3123,tis
3124,tis
3136,voyce
3146,Oppresse
3155,fairely
3166,selfe
3168,Murther
3170,murther
3171,murther
3199,kill'd
3205,ile
3206,ile
3226,thankes
3245,doe
3257,feare
3259,let's
3260,let's
3261,flye
3269,houre
3277,heav'n
3279,mercifull
3293,keepe
3301,neere
3318,ile
3319,ile
3320,mak
3334,ile
3335,ile
3371,warres
3377,Joyn
3379,encrease
3385,lesse
3389,valour
3395,appear'd
3400,againe
3417,vertue
3438,valour
3450,redeeme
3454,'tis
3455,'tis
3484,Feare
3491,tooke
3501,knowes
3503,onely
3513,turne
3535,valour
3540,lawfull
3541,honour
3544,warres
3555,foule
3560,liv'd
3563,murther
3580,onely
3582,purchas'd
3592,neerest
3603,doe
3606,joyn
3610,mutuall
3611,helpe
3617,hath
3627,wash'd
3652,againe
3662,you'll
3663,you'll
3673,rashnesse
3674,call'd
3678,ruine
3686,wrong'd
3689,honour
3690,Spur'd
3712,lawes
3724,yeeres
3739,thinke
3742,country-man
3752,offring
3766,i'le
3767,i'le
3781,Confirme
3785,dutifull
3789,pleas'd
3799,Unnaturall
3803,wilt thou
3804,wilt thou
3805,doe
3820,passe
3832,Farwell
3840,doe
3849,vow'd
3865,honour
3869,onely
3886,vow'd
3893,thanke
3915,feare
3928,Governour
3962,encrease
3975,earnestnesse
3983,appeares
3994,blesse
4034,doe
4047,hath
4051,honour
4053,ile
4054,ile
4055,returne
4093,Sonne
4125,successe
4129,appeares
4130,Alter'd
4132,custome
4139,Transform'd
4146,lesse
4160,sorrowes
4164,deerest
4167,Kinde
4172,mutuall
4176,Imploy'd
4179,wrong'd
4193,custome
4220,Turne
4233,Cloake
4245,ranck
4248,walke
4259,ranck
4273,Civill
4277,looke
4284,mans
4289,neighbour
4300,th'other
4301,th'other
4306,fish'd
4326,mens
4335,leane
4341,oppresse
4348,grosse
4364,braines
4373,immortall
4377,humanitie
4395,immortall
4401,neere
4406,doe
4414,that's
4415,that's
4424,immortall
4452,mortall
4456,let's
4457,let's
4458,goe
4464,shew
4496,ther's
4497,ther's
4509,did'st
4530,virginitie
4532,adaies
4540,virginitie
4543,liv'd
4545,yeere
4580,Taile
4604,beleeve
4615,onely
4632,thinke
4640,Historicall
4657,immortall
4663,immortall
4666,mortall
4675,certaine
4689,would'st
4709,neere
4737,immortall
4759,Souldiers
4769,Ierusalem
4786,i'le
4787,i'le
4789,hang'd
4798,Cobler
4800,Civill
4824,returne
4826,curtesie
4856,her's
4857,her's
4862,Cobler
4886,Gentrie
4902,Spaine
4930,eate
4953,'tis
4954,'tis
4970,antiquitie
4973,qualitie
5002,heare
5037,hungrie
5044,thou wilt
5045,thou wilt
5071,Saturne
5074,Grand-father
5085,he'll
5086,he'll
5090,God-father
5098,Saturne
5129,originall
5132,necessitie
5161,doe
5167,do'st
5175,briefe
5177,do'st
5199,heeles
5219,canst
5227,Common-wealth
5255,politique
5256,Cobler
5259,Coblers
5271,doe
5292,mans
5317,Coblers
5319,doe
5329,threds
5338,doe
5347,reape
5349,beefe
5359,whil'st
5370,feare
5374,steele
5391,againe
5406,mans
5447,Cobler
5456,Common-wealth
5460,politique
5466,mans
5469,walkes
5490,wonderfull
5493,hast
5496,naile
5508,for't
5509,for't
5512,neere
5514,shooe
5515,againe
5517,who's
5518,who's
5546,Serjeant
5548,that's
5549,that's
5597,mortall
5609,do's
5632,aske
5635,losse
5641,sustaine
5644,repaire
5647,recompence
5651,Onely
5653,fellowes
5665,beare
5675,i'le
5676,i'le
5687,ev'n
5695,hast
5698,Sonne
5702,brightnes
5712,beames
5732,stain'd
5741,honour
5748,vertue
5770,finde
5778,kinde
5810,neighbours
5813,Cobler
5824,sate
5826,cheeke
5866,finde
5871,shooe
5889,Goale
5907,whipt
5916,condemn'd
5919,Gallies
5925,buls
5930,call'd
5936,Apostacie
5947,goe
5952,press'd
5966,earn'd
5968,royall
5990,o'the
5991,o'the
5992,Moores
5998,Civill
6005,Taylor
6016,lowsie
6023,cover'd
6050,ne're
6053,lawfull
6061,profess'd
6072,beefe
6080,Hypocrisie
6097,Stewes
6100,undertooke
6107,selfe
6132,gaine
6142,seemes
6165,drunkennesse
6174,they'll
6175,they'll
6176,raile
6191,speake
6198,maist
6208,heeles
6210,'tis
6211,'tis
6223,ruine
6250,Childe
6275,worshipfull
6297,lesse
6305,beares
6319,staffe
6325,goe
6371,theeves
6372,lodg'd
6380,doe
6387,theefe
6404,doe
6416,forth-coming
6424,theefe
6429,Goale
6436,selfe
6444,Cobler
6459,with'em
6460,with'em
6474,neighbours
6500,infancie
6518,O'
6524,wrong'd
6527,extreamly
6549,moneth
6559,doe
