tokenIndex,original
16,biass'd
34,brib'd
38,i'd
39,i'd
57,i'd
58,i'd
61,propos'd
72,he'd
73,he'd
89,humour
108,he'l
109,he'l
115,'tis
116,'tis
118,meer
123,feign'd
138,powder-plot
139,powder-plot
142,th'
149,lye
160,i've
161,i've
166,borrow'd
188,Centre
190,they're
191,they're
192,inclin'd
199,Heav'n
205,i'd
206,i'd
232,Vertue
241,Wayes
248,Designe
254,else-where
288,heighth
292,she'll
293,she'll
415,tast
440,awfull
453,Sov'reign
482,he's
483,he's
501,resolv'd
539,Joyes
541,Heighth
550,lull'd
571,th'
572,mother-church
573,mother-church
579,he's
580,he's
581,Condemn'd
601,Heav'n
607,what's
608,what's
613,'tis
614,'tis
626,Cancell'd
629,Apostasie
690,Opticks
703,allow'd
717,Heav'n
741,Enthron'd
783,couzen'd
791,lab'ring
796,gain'd
801,they're
802,they're
817,Neighbours
821,i'm
822,i'm
823,resolv'd
839,doe's
857,i'le
858,i'le
885,i'le
886,i'le
898,i've
899,i've
923,mixt
932,Heav'n
938,busie
939,Pray'rs
954,Heav'n
974,what's
975,what's
1001,Rob'd
1008,raz'd
1021,Venom'd
1074,winding-sheet
1075,winding-sheet
1077,Whil'st
1080,Heav'n
1088,Whil'st
1091,Heav'n
1109,Heretick
1116,there's
1117,there's
1124,meer
1184,mov'd
1191,dayly
1193,Intollerable
1227,strengthned
1234,pleas'd
1240,Supream
1247,Fulness
1255,afore-said
1259,Heretick
1284,depriv'd
1334,Absolv'd
1422,Peters
1437,Canst
1446,stol'n
1475,he'll
1476,he'll
1477,chuse
1489,Th'
1496,hast
1499,stile
1510,Emperour
1514,Vapours
1526,Dung-hill
1541,th'
1551,Gulph
1557,poys'nous
1560,swell'd
1603,Supream
1657,Heretick
1673,produc'd
1677,Antient
1712,Thunder-Bolts
1725,th'
1728,antiently
1729,payd
1755,Releas'd
1774,forg'd
1807,continu'd
1817,Heath'nish
1843,Pretence
1849,ev'n
1856,VVas
1877,New-born
1881,whisper'd
1904,Usurp'd
1911,concern'd
1949,Croud
1968,strugling
2003,let's
2004,let's
2033,daub'd
2038,'tis
2039,'tis
2052,Centre
2062,i'le
2063,i'le
2072,Depos'd
2083,mid'st
2092,curst
2138,Flow'r
2140,that's
2141,that's
2154,Dev'l
2196,'tis
2197,'tis
2227,council-board
2228,council-board
2243,Councellors
2251,Traytors
2262,perswade
2271,Ev'n
2290,giv'n
2295,Heav'ns
2308,bestow'd
2313,easie
2314,Pow'rs
2335,drest
2342,undiscern'd
2371,Scatt'ring
2387,ev'ry
2392,Vertue
2413,i'le
2414,i'le
2438,i'll
2439,i'll
2440,shew
2442,i'll
2443,i'll
2444,tyre
2454,Lab'ring
2459,o're
2467,Honours
2497,Favourite
2515,Heav'n
2531,crusht
2604,depos'd
2620,dream'd
2640,loath'd
2646,tott'ring
2649,Whil'st
2689,th'
2691,Croud
2698,Whil'st
2704,prest
2710,Th'
2711,inchanted
2724,frighten'd
2740,gath'ring
2743,scatter'd
2750,shatter'd
2768,Crown'd
2792,Towards
2796,dream'd
2812,VVhich
2822,BElov'd
2846,Catholicks
2861,Heretick
2869,Issu'd
2891,Vertues
2896,int'rest
2905,doe's
2907,Heav'n
2908,Heroick
2937,suddain
2948,rais'd
2957,offer'd
2961,resolv'd
2966,dayes
3140,Farewel
3168,toss'd
3173,Harbour
3218,Honours
3286,they'll
3287,they'll
3290,Honour
3375,you've
3376,you've
3377,Govern'd
3410,designe
3422,ev'ry
3423,Souldier
3426,Honour
3439,Souldiers
3464,Subtil
3469,Souldiers
3475,i'll
3476,i'll
3533,that's
3534,that's
3565,th'event
3566,th'event
3573,i've
3574,i've
3581,Humours
3586,ne'r
3588,deny'd
3594,flatt'ring
3596,can't
3614,i'll
3615,i'll
3618,Poyson
3632,Heav'n
3644,i've
3645,i've
3728,gain'd
3737,feign'd
3741,Feaver
3766,Rais'd
3775,Poyson
3778,Physick
3796,Hereticks
3815,sate
3828,o're
3848,i've
3849,i've
3876,shew
3898,i'd
3899,i'd
3917,strook
3939,Kill'd
3957,study'd
3961,Poysons
4022,Poysons
4047,lay'd
4054,ev'n
4057,betray'd
4064,adoe
4078,Catholick
4107,Blow'd
4160,Pow'rs
4215,Light'ning
4216,flye
4218,Whil'st
4222,toucht
4262,'tis
4263,'tis
4267,Surprize
4287,i'll
4288,i'll
4318,let's
4319,let's
4330,shew
4359,Whil'st
4370,danc't
4393,withall
4396,giv'n
4400,Rayment
4433,there's
4434,there's
4450,curst
4471,death's-head
4472,death's-head
4476,Curst
4534,th'only
4535,th'only
4555,th'whole
4556,th'whole
4557,VVorld
4597,VVhen
4619,VVit
4670,Girle
4679,th'row
4680,th'row
4696,VVhite
4714,giv'n
4734,Prethee
4752,Palsie
4769,renew'd
4780,VVhich
4803,Mirrour
4831,shew
4836,Sun-burnt
4839,compar'd
4865,Girle
4884,ta'ne
4892,i've
4893,i've
4935,can't
4964,Heav'ns
5032,shalt
5058,green-sickness
5059,green-sickness
5063,think'st
5078,Cloyster'd
5116,Feaver
5122,Poyson
5138,fetter'd
5143,Muster'd
5174,nought
5181,'tis
5182,'tis
5199,'tis
5200,'tis
5201,mixt
5203,ev'ry
5238,sute
5253,'tis
5254,'tis
5286,Prophetick
5289,he's
5290,he's
5304,Tryumph
5327,Pow'r
5357,high-priest
5358,high-priest
5363,we've
5364,we've
5379,won't
5380,won't
5392,fullfil
5402,Advantagious
5417,VVord
5465,VVorld
5475,hast
5489,i've
5490,i've
5527,shew
5529,she's
5530,she's
5547,'gainst
5559,Damn'd
5563,Poysons
5564,did'st
5603,VVolves
5606,Tygers
5645,Currant
5646,roman-catholicks
5647,roman-catholicks
5666,meer
5667,Politick
5668,Designe
5722,cou'd
5761,Murthers
5785,forc'd
5787,Extreams
5791,'tis
5792,'tis
5793,alwayes
5794,conscience-sake
5795,conscience-sake
5822,surviv'd
5837,th'
5842,resign'd
5863,view'd
5874,learn'd
5878,VVar
5885,hov'ring
5898,VVhose
5907,lye
5909,th'immortal
5910,th'immortal
5919,Dropt
5932,seem'd
5987,Heav'n
5998,unreveng'd
6010,bellow'd
6012,ev'ry
6017,stretch't
6024,Whil'st
6027,roar'd
6054,disguis'd
6057,Convey'd
6085,Embassador
6194,scatter'd
6200,whil'st
6219,observ'd
6227,repair'd
6258,design'd
6265,stopt
6342,'tis
6343,'tis
6348,whil'st
6388,you've
6389,you've
6406,th'
6474,doe's
6477,shew
6498,hastned
6546,Off-spring
6567,Extreamest
6572,that's
6573,that's
6574,suddain
6584,surpriz'd
6635,Jealousie
6691,HOwe're
6697,i'm
6698,i'm
6702,Politicks
6758,ev'n
6772,i'le
6773,i'le
6781,Bug-bear
6839,seem'd
6897,advis'd
6912,Pow'r
6922,flye
6924,Farewel
6935,state-affairs
6936,state-affairs
6939,disturb'd
6967,doth
6976,followeth
6979,let's
6980,let's
7001,Flow'rs
7003,Ne'r
7010,Show'rs
7013,let's
7014,let's
7025,nought
7034,Maiden-head
7051,Bee
7060,toyl
7068,th'
7072,Christmass
7075,'tis
7076,'tis
7081,Chast
7104,Doe
7113,ev'ry
7132,Compel'd
7157,loath'd
7169,Vertue
7181,Heav'n
7232,design'd
7242,shew
7270,Punish't
7280,imploy'd
7285,Suff'rings
7290,Cloy'd
7315,Alwayes
7327,i'le
7328,i'le
7409,Ruin'd
7423,i'd
7424,i'd
7427,Conquer'd
7432,VVhose
7436,poyson'd
7478,Vertue
7520,Perjur'd
7523,Assur'd
7597,there's
7598,there's
7609,'tis
7610,'tis
7619,Heav'n
7634,Prophesie
7674,hast
7682,Prethee
7714,wonder'd
7721,hast
7725,'tis
7726,'tis
7734,Fryars
7740,Damn'd
7779,Country-man
7792,Engins
7794,Fire-works
7802,Holyness
7815,call'd
7845,Anti-Christ
7865,you'll
7866,you'll
7871,alter'd
7906,Decoy'd
7944,he's
7945,he's
7962,Lov'd
7977,she'll
7978,she'll
8010,Heav'n
8017,curst
8032,distinguisht
8059,suffer'd
8068,nat'ral
8096,th'insulting
8097,th'insulting
8110,Heav'n
8125,plung'd
8160,Tast
8169,Heav'n
8210,can't
8215,i'le
8216,i'le
8229,Souldiers
8237,i've
8238,i've
8257,i've
8258,i've
8259,ty'd
8270,i've
8271,i've
8273,view'd
8298,giv'n
8306,they'll
8307,they'll
8309,Heav'n
8311,you'll
8312,you'll
8316,i'le
8317,i'le
8341,they'll
8342,they'll
8362,they'll
8363,they'll
8369,thorow
8383,that's
8384,that's
8397,Heav'n
8407,damn'd
8423,ev'ry
8438,pleas'd
8452,'mongst
8492,they've
8493,they've
8494,sev'ral
8502,chequer'd
8503,o're
8523,shew
8530,we've
8531,we've
8536,Toyl
8553,you'll
8554,you'll
8611,Heav'n
8633,i'm
8634,i'm
8654,i'd
8655,i'd
8667,Heav'n
8671,Martyr'd
8678,Heretick
8681,Heav'n
8701,Gun-powder
8718,shalt
8723,o're
8757,ling'ring
8763,Heav'n
8766,Vertue
8774,blest
8794,Prosp'rous
8806,'tis
8807,'tis
8854,Whil'st
8870,lye
8887,expell
8896,Curst
8897,Sould
8913,Eccho
8922,hast
8938,despair'd
8951,Heav'n
9009,Heav'n
9023,suddain
9024,Extasie
9042,strucken
9065,Marriners
9072,render'd
9118,i've
9119,i've
9132,Discompos'd
9136,Suspence
9145,Heav'n
9166,Heav'nly
9185,seem'd
9199,Distemper'd
9266,Dev'l
9272,else-where
9275,Corps
9281,Pris'ner
9282,lye
9286,Damn'd
9305,undiscern'd
9322,i'm
9323,i'm
9324,Character'd
9344,VVhat
9420,establish'd
9427,i'm
9428,i'm
9459,Heav'ns
9471,Offence
9473,publick
9485,i'm
9486,i'm
9487,wrong'd
9530,Heav'n
9531,ne're
9624,i'll
9625,i'll
9670,wou'd
9712,can't
9715,believ'd
9740,dream'd
9752,believ'd
9757,Heav'n
9779,kiss'd
9784,Whil'st
9789,shew'd
9791,Countrys
9796,ev'n
9800,Show'rs
9882,'tis
9883,'tis
9888,labours
9931,th'
9950,fathom'd
9951,ev'ry
9970,treach'rous
9988,engross'd
10011,reform'd
10014,Whil'st
10018,practise
10047,shaddow
10064,Poyson
10103,Heav'n
10169,prie
10182,th'
10187,shew
10203,Pow'r
10206,deny'd
10214,it's
10215,it's
10218,ty'd
10225,Rev'rence
10272,the see
10273,the see
10306,he'ld
10307,he'ld
10337,disguis'd
10360,t'
10364,forgoe
10390,Pow'r
10422,produc'd
10424,curst
10438,Africk
10463,Perswasion
10488,Relique
10517,perswade
10546,Vertue
10551,searcht
10569,chain'd
10577,knowledg
10586,th'
10593,convey'd
10613,is't
10614,is't
10616,easie
10629,th'
10630,Polititian
10648,plac'd
10651,ev'n
10676,she's
10677,she's
10710,Heav'n
10727,Ev'n
10748,murthered
10760,th'
10763,drie
10767,griev'd
10810,perswade
10836,weigh'd
10868,refin'd
10905,i'll
10906,i'll
10915,shew
10936,extasie
11035,Heav'ns
11041,dispair
11059,Flow'rs
11069,Heav'ns
11089,'tis
11090,'tis
11107,shew
11109,Whil'st
11160,procur'd
11175,Tho'
11182,storm'd
11188,repuls'd
11233,weaken'd
11244,resign'd
11273,shew
11276,Jesuites
11299,Relique
11318,Jesuites
11331,you'll
11332,you'll
11341,th'
11346,Rayes
11408,pretence
11416,meer
11450,they'll
11451,they'll
11456,loth
11465,prie
11477,Relique
11483,'tis
11484,'tis
11487,Centre
11500,o'recome
11508,threatnings
11516,lingring
11524,hainous
11576,ide
11577,ide
11579,rival'd
11594,soften'd
11608,abhor'd
11617,ador'd
11643,i've
11644,i've
11654,i've
