tokenIndex,original
0,VVHen
9,Summer-time
24,new borne
37,musick
39,ev'ry
40,grone
47,Olympick
48,Iove
83,Phenix
92,festivall
96,nuptiall
99,groue
113,danc't
125,Vow'd
153,delt
167,vnto
173,faire
181,addresse
192,coyne
207,refus'd
216,loue
239,sighes
250,hath
251,turn'd
264,Sleepe
269,flyes
282,i'de
283,i'de
287,barne
295,tis
296,tis
309,rocke
318,terme
340,scarse
356,honour
359,Barke
365,weake
388,disloyall
390,call'd
394,fiftie
414,th'
420,Endanger'd
435,sould
440,chaine
445,Queene
466,voyd
467,roome
470,Sonne
487,pursute
504,selfe
506,ile
507,ile
517,owne
521,sayst
525,twaine
530,tis
531,tis
532,confest
541,firme
542,setled
548,ungratefull
560,charmes
568,armes
573,seene
576,oft
590,owne
591,turne
593,serv'd
596,holdeth
599,Untill
616,liv'd
624,royall
632,flie
643,bloud
648,blam'd
656,inform'd
671,mens
680,condem'd
685,stab'd
687,selfe
693,steele
698,deare
732,Exchang'd
737,expos'd
744,roomes
773,goe
782,beare
791,lik't
794,tooke
797,owne
801,backe
807,lye
813,Sepulchre
823,paire
827,sacrific'd
830,firme
831,setled
837,loyall
846,losse
852,uncertaine
853,waies
854,hath
869,confesse
880,Doe
896,ist
897,ist
907,that's
908,that's
912,flowre
916,tis
917,tis
929,Colours
946,impaire
950,weake
962,faire
972,Shipwrack
1004,evill
1012,battell
1023,faire
1028,paine
1035,domestick
1042,scorne
1053,leade
1078,doe
1082,owne
1095,owne
1106,Inke
1144,i'th
1145,i'th
1166,prov'd
1171,Souldiers
1186,frowne
1198,fooles
1207,expresse
1210,Supremacie
1223,Ensignes
1227,troopes
1245,Disloyall
1249,spheare
1264,peeces
1267,make't
1268,make't
1272,corps
1311,oft
1312,ensnar'd
1319,slipt
1348,wandring
1363,Satyre
1371,storme
1397,boone
1410,oft
1414,threed
1418,tane
1423,looke
1426,tooke
1428,Conquerour
1432,tooke
1438,steale
1441,peece
1443,Travell'd
1445,farre
1460,faire
1470,Regall
1471,Lyon
1484,yoake
1543,Shalt
1553,dipt
1558,doe
1560,feare
1565,goe
1582,th'art
1583,th'art
1590,goe
1593,HEarke
1599,prophane
1600,Swaine
1601,Do's
1612,sayes
1613,he's
1614,he's
1617,scornes
1626,ile
1627,ile
1632,ile
1633,ile
1646,ile
1647,ile
1653,soule
1657,ile
1658,ile
1668,ile
1669,ile
1685,inamour'd
1690,ile
1691,ile
1694,Shepherdesse
1697,he'le
1698,he'le
1707,soone
1710,coynesse
1713,nicenesse
1737,teares
1742,ile
1743,ile
1752,onely
1774,alwaies
1779,alwaies
1780,misse
1782,ile
1783,ile
1791,hath
1798,repaire
1808,soveraigne
1809,vertue
1811,containe
1821,paine
1831,seeke
1832,Deepe
1833,streames
1840,flockes
1845,flouds
1860,pin'd
1861,cheekes
1872,sheepe
1879,daies
1882,griefe
1889,looke
1893,wither'd
1897,drosse
1904,sighes
1938,caus'd
1964,Betray'd
1972,warre
1989,thunder-bolt
2017,soone
2018,confesse
2035,downe
2073,madnesse
2075,possesse
2077,brest
2094,sharpe
2096,straine
2115,braines
2121,bloud
2141,Soone
2158,boysterous
2159,rivall
2181,sonne
2206,t'abuse
2207,t'abuse
2212,worke
2222,undoe
2245,hath
2252,batter'd
2260,commandeth
2263,yeelding
2274,looke
2275,hath
2278,soule
2281,feaver
2290,Faire
2296,shepherdesse
2306,liberall
2311,vertue
2315,wandring
2317,hath
2331,hourely
2338,trie
2358,blisse
2361,blissefull
2362,happinesse
2366,deny'd
2387,despaire
2390,greene
2407,wonne
2411,lov'd
2418,love-sick
2424,fancie
2430,bashfull
2437,griefe
2446,womans
2448,Prevaile
2450,farre
2451,o're
2464,fooles
2479,Festivall
2491,ile
2492,ile
2502,remedie
2512,twinckling
2513,traine
2534,dost
2555,doth
2577,vaine
2581,arrowes
2584,slaine
2587,sterne
2590,massie
2594,barres
2597,congeal'd
2601,sinewes
2605,boughes
2613,Deepe
2636,Shin'd
2641,skie
2643,Faire
2648,sonne
2652,oft
2662,bayes
2667,Layes
2678,faire
2697,did'st
2706,herbes
2709,Couldst
2715,herbe
2722,maladie
2744,hath
2747,H^r
2756,grasse
2760,creame
2767,streame
2780,thaw'd
2792,doth
2799,rayes
2804,h^r
2806,yce
2810,t'was
2811,t'was
2812,caus'd
2817,limb'd
2820,blest
2828,exprest
2829,Deedes
2831,honour
2835,crownd
2841,renown'd
2846,valour
2848,suppli'd
2855,defi'd
2857,hoast
2862,ne're
2863,conjoyn'd
2899,Milstone
2904,threatning
2909,Speare
2912,terrifie
2916,feare
2923,brasse
2925,sinewes
2931,passe
2938,deafe
2969,slaine
2976,againe
2996,jawes
3003,armes
3006,teare
3012,Beare
3014,Lye
3025,spoile
3034,doe
3042,dayes
3048,Layes
3072,Halfe
3077,halfe
3117,clense
3119,foule
3128,crosse
3137,plaine
3152,pamper'd
3166,didst
3174,armes
3188,forc't
3198,oare
3203,roare
3237,labours
3245,yeelded
3248,yoake
3255,espie
3263,pris'ner
3269,frownes
3272,prepar'd
3285,Keepe
3289,Nuptiall
