tokenIndex,original
1,POLITICK
19,Browne
27,temple-bar
28,temple-bar
207,Poyson
226,satisfie
238,i'le
239,i'le
287,'tis
288,'tis
347,were't
348,were't
356,i'de
357,i'de
386,she's
387,she's
404,womens
426,'tis
427,'tis
442,i'm
443,i'm
455,lye
517,Jealousie
582,School-master
584,i'le
585,i'le
609,vertuous
655,launch'd
666,Alass
667,she's
668,she's
757,she'll
758,she'll
773,kist
820,kist
841,kist
844,there's
845,there's
853,Womans
865,kist
870,'tis
871,'tis
874,can't
912,'tis
913,'tis
916,customes
925,customes
930,humour
983,prethee
1002,melancholly
1018,i'le
1019,i'le
1044,i'le
1045,i'le
1060,shalt
1077,that's
1078,that's
1081,farewel
1123,labour
1139,lye
1173,on't
1174,on't
1179,lye
1195,lye
1231,assum'd
1270,Extreams
1272,Vertue
1280,she'll
1281,she'll
1283,i'th'
1284,i'th'
1289,i'th'
1290,i'th'
1301,belye
1307,i'le
1308,i'le
1309,lye
1344,do't
1345,do't
1350,chuse
1386,Plaister
1388,is't
1389,is't
1409,i'le
1410,i'le
1446,is't
1447,is't
1475,i'm
1476,i'm
1489,drench'd
1497,Cloaths
1516,he'll
1517,he'll
1608,i'le
1609,i'le
1647,i'th'
1648,i'th'
1681,lye
1720,you'l
1721,you'l
1724,i'le
1725,i'le
1867,Maiden-head
1871,ruin'd
1949,i'le
1950,i'le
1983,Honour
2125,Gypsie
2131,lookt
2134,Candle-light
2141,call'd
2152,i'le
2153,i'le
2225,fetch'd
2240,look'd
2246,Neighbours
2252,cry'd
2254,Farewel
2261,Unkle
2266,perfum'd
2273,Perfum'd
2276,Perfum'd
2307,perfum'd
2353,i'le
2354,i'le
2375,Lyon
2427,VVhat
2451,let's
2452,let's
2494,i'le
2495,i'le
2545,he's
2546,he's
2564,wonderous
2609,'tis
2610,'tis
2637,salt-water
2638,salt-water
2647,i'le
2648,i'le
2653,Gulph
2667,goest
2680,presuppos'd
2729,there's
2730,there's
2735,all's
2736,all's
2751,'tis
2752,'tis
2783,lock'd
2789,swoln
2795,who's
2796,who's
2799,'tis
2800,'tis
2810,wrapt
2822,'tis
2823,'tis
2875,what's
2876,what's
2880,what's
2881,what's
2900,resolv'd
2919,that's
2920,that's
2982,seem'd
3015,hower
3032,all's
3033,all's
3068,i'le
3069,i'le
3080,i'le
3081,i'le
3108,i'le
3109,i'le
3139,chast
3148,compar'd
3176,i'le
3177,i'le
3235,smooth-fac'd
3239,here's
3240,here's
3279,shalt
3294,he'll
3295,he'll
3314,there's
3315,there's
3330,she's
3331,she's
3339,to't
3340,to't
3351,liv'd
3388,Musick
3416,that's
3417,that's
3452,'tis
3453,'tis
3467,practise
3476,Canst
3492,shalt
3493,do't
3494,do't
3538,who's
3539,who's
3565,there's
3566,there's
3600,i'le
3601,i'le
3630,how's
3631,how's
3639,he's
3640,he's
3642,meer
3650,'tis
3651,'tis
3671,harbour
3692,entertain'd
3699,neighbour
3713,dost
3740,Wo
3757,Tryal
3781,loth
3786,Shalt
3806,unblemish'd
3811,Honour
3840,to't
3841,to't
3851,you'll
3852,you'll
3863,i'le
3864,i'le
3923,'tis
3924,'tis
3927,'tis
3928,'tis
3940,playd
3971,out-run
4018,shalt
4030,hast
4042,shalt
4065,there's
4066,there's
4080,shalt
4105,that's
4106,that's
4109,on't
4110,on't
4135,shalt
4141,i'le
4142,i'le
4175,Good-night
4181,VVhat
4195,VVife
4243,what's
4244,what's
4300,on't
4301,on't
4367,he's
4368,he's
4375,he'le
4376,he'le
4377,ne're
4379,in't
4380,in't
4385,she's
4386,she's
4392,beares
4439,'tis
4440,'tis
4441,pitty
4450,match'd
4478,shan't
4479,shan't
4490,she'le
4491,she'le
4499,that's
4500,that's
4544,'tis
4545,'tis
4625,out-right
4643,wou'd
4679,cou'd
4696,Prethee
4739,Mid-night
4747,vertuous
4763,'tis
4764,'tis
4810,turn'd
4818,shou'd
4849,Prethee
4862,Stomack
4889,prethee
4913,she's
4914,she's
4923,kist
4974,he's
4975,he's
4977,melancholly
4995,i'le
4996,i'le
5006,'tis
5007,'tis
5062,Arbour
5077,is't
5078,is't
5089,Vertues
5131,t'other
5132,t'other
5157,suspition
5170,there's
5171,there's
5195,counsell'd
5218,comming
5220,i'le
5221,i'le
5225,you'le
5226,you'le
5228,what's
5229,what's
5249,we'le
5250,we'le
5265,rais'd
5299,chast
5333,confest
5341,Taylor
5378,Taylor
5441,ne're
5506,i've
5507,i've
5508,abus'd
5548,lye
5571,Pennance
5598,Alass
5622,he's
5623,he's
5678,absolv'd
5683,Pennance
5699,Pennance
5705,'tis
5706,'tis
5707,easie
5708,perform'd
5710,'tis
5711,'tis
5748,Publick
5761,Childs
5801,'tis
5802,'tis
5809,Pennance
5812,easie
5816,'tis
5817,'tis
5826,Pennance
5833,Farewel
5863,melancholly
5891,'tis
5892,'tis
5917,she's
5918,she's
5936,Mistris
5941,here's
5942,here's
5974,what's
5975,what's
5981,'tis
5982,'tis
6034,you'r
6035,you'r
6041,can't
6054,'tis
6055,'tis
6077,i'le
6078,i'le
6085,'tis
6086,'tis
6092,Kickt
6109,VVhat
6122,VVill
6131,VVe
6133,vanish'd
6189,lyar
6251,prethee
6289,ingender
6291,'tis
6292,'tis
6301,poysons
6304,mans
6337,greasie
6338,Sattin
6362,warm'd
