tokenIndex,original
7,Eare
32,Soule
50,speake
71,murmure
80,howers
107,generall
108,voyce
113,practize
115,rejoyce
124,curl'd
127,look'd
131,greene
148,Aire
169,doe
178,Hee
202,armes
203,doe
228,ev'ry
238,voyce
248,rejoyce
280,downe
292,discover'd
300,businesse
311,soone
312,appeare
353,chang'd
378,certaine
382,Forrest
388,Antiquitie
396,seene
406,loth
427,turn'd
434,fix'd
444,Looke
447,neere
475,faire
485,faire
487,ask'd
499,Proverbe
550,businesse
562,farre
584,i'
586,Forrest
594,i'll
595,i'll
612,hee
614,declin'd
619,Pleaseth
627,poore
628,Neighbour
634,Honours
636,i'
638,Countie
648,Schoole-master
653,painfull
654,Instructer
660,Countrey
664,appeareth
667,signe
698,remarkeable
716,Lanthorne
724,o'
734,Forrest
737,witnesseth
739,briefe
744,Armour
767,boyling
772,bottomlesse
780,Satans
815,turne
853,flie
854,o're
864,odde
886,ne're
897,beleeve
928,Peeres
933,eares
951,Hath
958,Knowne
963,downe
967,Antiquitie
974,solemne
991,hath
1015,O'
1029,hath
1052,O'
1067,himselfe
1080,Bridegroome
1082,himselfe
1095,greene
1118,Shooes
1129,himselfe
1131,Bootes
1137,doe
1143,doe
1145,hee's
1146,hee's
1163,hee
1166,honour
1171,Hath
1172,challeng'd
1186,Sixe
1192,hee
1202,hath
1206,Sixe
1224,sixe
1235,whil'st
1243,doth
1244,appeare
1251,deare
1256,he's
1257,he's
1265,Forrest
1266,Colour
1267,seene
1277,Doth
1289,Skie
1308,Kirke
1329,keepes
1347,Countrey
1361,reckon'd
1362,o'
1364,Countie
1372,misse
1388,receiv'd
1393,Countrey
1397,hath
1404,beares
1412,i'
1418,Goe
1419,Captaine
1446,scape
1447,o'
1448,th'
1460,hast
1461,knock'd
1482,himselfe
1519,betweene
1527,seene
1535,greene
1537,Hee
1538,knowes
1561,i'
1591,Churle
1605,hurle
1610,Kirke
1628,hath
1634,turn'd
1660,paire
1670,keepe
1685,throwne
1711,'tis
1712,'tis
1717,hath
1729,vaile
1741,breake
1759,drest
1784,Sixe
1790,attir'd
1804,drest
1808,Countrey
1813,Mistris
1821,beare
1851,prest
1876,o'
1878,Countrey
1882,o'
1889,Steele
1894,braines
1898,heele
1903,Quick-silver
1904,i'
1908,i'
2017,companie
2026,let's
2027,let's
2040,Bridall
2099,necessarie
2108,comming
2132,equall
2133,authoritie
2136,businesse
2141,rudenesse
2153,urg'd
2210,defendeth
2213,sleepes
2216,labours
2232,bus'nesse
2244,houres
2262,owne
2313,styl'd
2328,worke
2342,Countrey
2356,suck'd
2360,Milke
2364,pietie
2371,hast
2373,deserv'd
2375,joyfull
2388,lik'st
2390,hast
2399,Brittaine
2409,weare
2437,that's
2438,that's
2441,himselfe
2462,seeme
2473,drest
2479,eares
2486,rumours
2498,speake
2503,blesse
2540,Blesse
2542,faire
2547,certaine
2569,himselfe
2571,mortall
2575,feele
2579,mortall
2594,loyall
2595,Sonne
2621,aske
2628,Grand-child
2666,Brittaines
2671,waite
2672,Bond-woman
