token,tokenToMatch,endReason,tag,tagIndex
WHat,what,s,,
softer,softer,s,,
sounds,sounds,s,,
are,are,s,,
these,these,s,,
salute,salute,s,,
the,the,s,considrd,0
Ear,ear,n,strd,0
From,from,s,,
the,the,s,considrd,0
large,large,s,,
Circle,circle,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Hemispheare,hemispheare,c,,
",",",",n,,
As,as,s,considrd,0
if,if,s,,
the,the,s,considrd,0
Center,center,s,,
of,of,s,considrd,0
all,all,s,,
sweets,sweets,s,,
met,met,s,,
here,here,c,,
!,!,nn,,
It,it,s,,
is,is,s,considrd,0
the,the,s,considrd,0
breath,breath,c,,
",",",",s,,
and,and,s,,
Soul,soul,s,strd,0
of,of,s,considrd,0
every,every,s,,
thing,thing,c,,
",",",",n,,
Put,put,s,,
forth,forth,s,,
by,by,s,considrd,0
Earth,earth,c,,
",",",",s,,
by,by,s,considrd,0
Nature,nature,c,,
",",",",s,,
and,and,s,,
the,the,s,considrd,0
Spring,spring,c,,
",",",",n,,
To,to,s,considrd,0
speak,speak,s,strd,0
the,the,s,considrd,0
Welcome,welcome,c,,
",",",",s,,
Welcome,welcome,s,,
of,of,s,considrd,0
the,the,s,considrd,0
King,king,c,,
.,.,nn,,
The,the,s,considrd,0
joy,joy,s,,
of,of,s,considrd,0
plants,plants,c,,
.,.,s,,
The,the,s,considrd,0
spirit,spirit,s,,
of,of,s,considrd,0
flowers,flowers,c,,
",",",",nn,,
The,the,s,considrd,0
waters,waters,s,,
murmr,murmr,c,strd,0
;,;,s,,
with,with,s,considrd,0
the,the,s,considrd,0
showers,showers,n,,
Distilling,distilling,s,,
on,on,s,,
the,the,s,considrd,0
new-fresh,new-fresh,s,,
hours,hours,c,strd,0
:,:,n,,
The,the,s,considrd,0
whistling,whistling,s,,
winds,winds,c,,
",",",",s,,
and,and,s,,
birds,birds,c,,
",",",",s,,
that,that,s,considrd,0
sing,sing,n,,
The,the,s,considrd,0
Welcome,welcome,s,,
of,of,s,considrd,0
our,our,s,,
great,great,c,considrd,0
",",",",s,,
good,good,s,,
King,king,c,,
.,.,n,,
Welcome,welcome,c,,
",",",",s,,
O,o,s,,
Welcome,welcome,c,,
",",",",s,,
is,is,s,considrd,0
the,the,s,considrd,0
general,general,s,strd,0
voice,voice,c,strd,0
",",",",n,,
Wherein,wherein,s,,
all,all,s,,
Creatures,creatures,s,,
practice,practice,s,strd,0
to,to,s,considrd,0
rejoice,rejoice,c,strd,0
.,.,nn,,
WHen,when,s,,
was,was,s,,
old,old,s,,
Sherewood's,sherewood's,s,,
head,head,s,,
more,more,s,,
quaintly,quaintly,s,,
curled,curled,c,strd,0
?,?,n,,
Or,or,s,considrd,0
looked,looked,s,strd,0
the,the,s,considrd,0
Earth,earth,s,,
more,more,s,,
green,green,s,strd,0
upon,upon,s,,
the,the,s,considrd,0
world,world,c,,
?,?,n,,
Or,or,s,considrd,0
Natures,natures,s,,
Cradle,cradle,s,,
mere,mere,s,,
inchas'd,inchas'd,c,,
",",",",s,,
and,and,s,,
purl'd,purl'd,c,,
?,?,n,,
When,when,s,,
did,did,s,,
the,the,s,considrd,0
Air,air,s,strd,0
so,so,s,,
smile,smile,c,,
",",",",s,,
the,the,s,considrd,0
Winds,winds,s,,
so,so,s,,
chime,chime,c,,
?,?,n,,
As,as,s,considrd,0
Quiristers,quiristers,s,,
of,of,s,considrd,0
Season,season,c,,
",",",",s,,
and,and,s,,
the,the,s,considrd,0
Prime,prime,c,,
!,!,nn,,
If,if,s,,
what,what,s,,
they,they,s,considrd,0
do,do,c,strd,0
",",",",s,,
be,be,s,considrd,0
done,done,s,,
in,in,s,considrd,0
their,their,s,considrd,0
due,due,s,,
time,time,c,,
.,.,nn,,
He,he,s,strd,0
makes,makes,s,,
the,the,s,considrd,0
time,time,s,,
for,for,s,considrd,0
whom,whom,s,,
't,'t,s,,
is,is,s,considrd,0
done,done,c,,
",",",",n,,
From,from,s,,
whom,whom,s,,
the,the,s,considrd,0
warmth,warmth,c,,
",",",",s,,
