tokenIndex,original
0,VVEe
5,birde
15,bee
16,proued
22,sunne
26,Iupiter
29,Asse
32,starres
36,couered
39,beeing
40,Owles
57,vpon
62,drawe
71,thinke
82,deepe
84,golde
91,poore
99,stickes
107,wil
113,eare
126,onely
138,graue
140,seeke
141,onely
145,loue
147,Whatsoeuer
162,shadowes
171,seene
178,woulde
179,conceiue
185,hauing
187,quicke
190,discerne
192,haue
195,memorie
200,vs
213,giuing
219,themselues
222,wee
223,shewing
230,selues
233,feare
242,tailes
248,eies
254,coulde
256,sleepe
261,birdes
264,vp
266,beaste
278,stande
282,reporte
287,sette
288,beefore
290,owle
296,vertue
298,couer
301,deformitie
306,signe
315,lesse
317,twelue
318,Cubites
323,eighteene
329,dispaire
330,vnto
331,vs
336,lesse
340,looke
361,trauailing
362,al the
363,al the
372,hedg
391,mountaine
392,seeme
395,foorth
399,perfourme
414,Basill
418,yeeldeth
420,sweete
429,ranke
430,sauour
432,Wee
433,feare
434,euen
438,labours
444,breede
452,proofe
462,bee
469,nightes
477,appeare
482,vnder
483,seauen
484,monethes
490,twelue
496,trauailes
506,bringeth
507,foorth
509,nourisheth
512,engendreth
513,againe
518,broode
523,egges
531,layd
534,birdes
537,howsoeuer
541,worke
544,craue
545,pardo^
557,transgresse
562,haue
566,counsell
576,amisse
583,sowe
596,Harts
600,hornes
604,skinnes
608,bils
616,labour
626,shalbe
627,shalbe
628,fitte
646,towne
652,runnes
666,bee
670,iudgementes
672,vniuersall
676,wee
677,maye
678,enioy
689,tel
702,curtesie
711,feare
717,aboue
718,custome
722,raysed
730,throwne
745,cruell
746,warre
749,milde
754,becommeth
756,sonne
767,therfore
773,ful
778,haue
784,excellencie
789,moone
793,els
796,sunne
806,whome
809,vertue
813,coulde
815,childe
816,receiue
825,staine
837,bee
842,goodnes
851,mee
855,whilest
868,vnlesse
869,happely
871,coniecture
876,iudgment
878,conceiue
889,heaue
895,coueting
897,kisse
902,therfore
906,poyson
914,perceiue
923,neuer
928,sunne
932,argueth
935,duetie
943,deuotion
951,controuersie
962,onely
964,shal
969,vs
987,meete
989,bee
991,sonne
1001,spoiles
1006,pleasaunt
1009,vs
1014,ioyned
1016,honour
1026,captiuitie
1034,didst
1035,neuer
1037,deceiue
1038,vertue
1041,vertue
1042,neuer
1048,Sworde
1052,neuer
1054,spoyle
1057,wisdome
1060,beares
1067,walles
1069,raysed
1072,sweetnesse
1075,harpe
1088,neuer
1091,neere
1093,wals
1097,walkt
1100,walles
1107,haue
1108,beene
1109,mery
1112,streetes
1117,beene
1125,destinie
1127,seldome
1128,foreseene
1130,neuer
1131,preuented
1137,captiues
1140,neckes
1148,harts
1151,yeelde
1162,vs
1175,wee
1181,dartes
1185,neede
1197,conquerour
1201,hath
1202,ouercome
1210,vnder
1212,subiection
1223,diuine
1229,Vertue
1236,vertue
1244,drinketh
1246,bloud
1249,thirsteth
1260,neuer
1270,becometh
1272,captaine
1276,milde
1279,beseemeth
1283,in al
1284,in al
1311,shalbe
1312,shalbe
1324,saue
1339,doe
1342,hee
1343,preserue
1349,lyues
1356,wee
1358,confesse
1376,whe^ce
1378,spoiles
1382,maiesty
1404,seeme
1412,wil
1467,seeme
1471,sparkes
1475,deedes
1488,feare
1494,liue
1501,necessitie
1507,fayre
1529,meane
1534,extreame
1542,vertues
1543,shew
1546,whatsoeuer
1552,shal
1554,honourably
1558,shalbe
1559,shalbe
1565,shal
1571,warre
1575,subiectes
1582,honourable
1586,Citie
1590,souldiers
1596,wordes
1601,offence
1608,supplyed
1611,farre
1614,shalbe
1615,shalbe
1626,resteth
1630,haue
1635,gouerne
1645,whilest
1646,armes
1649,artes
1654,ioyning
1657,launces
1660,endeuor
1672,lesse
1684,Maiestie
1685,therin
1686,sheweth
1689,haue
1700,needes
1709,captaine
1719,Captaine
1721,serue
1723,steede
1726,maister
1745,boord
1769,hande
1779,sheetes
1790,pittie
1799,vppon
1807,dogge
1809,haue
1820,arte
1824,hauing
1844,minde
1847,mery
1852,signe
1862,toyes
1869,haue
1877,haue
1882,dayes
1890,thinke
1892,keepes
1895,cheere
1904,hee
1905,keepeth
1914,lucke
1915,warme
1920,runne
1923,maister
1959,standes
1973,beecause
1984,runne
1985,awaye
1996,woldest
1997,haue
2004,proue
2009,immortall
2011,beecause
2020,Didde
2022,maisters
2023,neuer
2028,soule
2030,immortall
2042,soule
2078,therfore
2081,vs
2095,Phylosophers
2097,Giue
2101,reades
2107,schoole
2114,kitchin
2122,maister
2141,soule
2146,menne
2176,Cooke
2180,doone
2184,giue
2196,eare
2203,guttes
2207,braines
2209,serue
2212,whoe
2213,feedeth
2214,mee
2217,doth
2225,preacheth
2230,commendeth
2245,whe^
2250,saith
2257,faire
2266,whiche
2279,feede
2281,eie
2290,doost
2295,doeth
2296,hee
2304,haue
2305,liued
2307,sauours
2310,proueth
2317,fatte
2319,colours
2322,telles
2324,birdes
2326,haue
2327,beene
2338,haue
2342,eies
2345,mistresse
2350,neuer
2363,fauours
2366,doth
2368,shew
2374,haue
2380,lothsome
2410,co^clude
2416,thogh
2422,maketh
2426,shuld
2437,Lambes
2449,maide
2475,Cookes
2484,fatte
2490,haue
2491,nought
2495,fil
2511,killeth
2528,greue
2535,meate
2537,maketh
2543,doest
2546,liue
2550,iests
2553,aire
2558,almes
2560,Wel
2565,wil
2571,amo^g
2576,shalt
2582,serue
2585,ioy
2595,cleare
2598,euening
2611,neuer
2614,doe
2616,warne
2617,schollers
2627,cam
2632,leane
2641,appeare
2646,stoode
2653,mouing
2655,eies
2661,vrging
2664,giue
2668,hee
2669,tooke
2670,vp
2672,booke
2674,sate
2675,downe
2678,saide
2693,ofte^times
2699,meate
2707,wold
2709,starue
2711,ceasse
2712,studie
2715,thoght
2728,clarkes
2734,wil
2740,co^mons
2745,Fro^
2757,diuerse
2765,sauing
2769,fellowe
2777,towardes
2779,sunne
2781,reade
2785,yong
2793,appeare
2798,answeared
2802,wold
2803,faine
2811,mee
2814,learne
2818,lette
2868,halfe
2895,shalt
2923,vertue
2949,vnder
2962,comming
2968,controuersie
2976,wondred
2980,beleeued
2986,worke
2990,doe
2995,vpon
2999,seene
3002,Moone
3015,naturall
3017,giue
3039,crye
3053,muche
3068,whilest
3070,studie
3075,owne
3078,omitte
3082,selfe
3089,sauage
3092,resteth
3095,diuine
3106,deuine
3118,minde
3127,tearme
3148,masse
3156,deuided
3158,themselues
3163,themselues
3166,maiestie
3169,skie
3179,whatsoeuer
3180,els
3181,appeareth
3188,meane
3192,proue
3194,naturall
3197,shalbe
3198,shalbe
3207,controuersie
3209,wil
3211,parte
3242,commeth
3256,vs
3268,dueties
3273,maruaile
3275,shoulde
3281,doe
3287,wilbe
3288,wilbe
3309,commaund
3316,al the
3317,al the
3330,comming
3343,pallace
3348,haue
3349,resolued
3357,haue
3372,shalbe
3373,shalbe
3379,wil
3380,haue
3381,vsed
3392,warre
3401,commaunded
3410,commaunded
3416,becommeth
3422,maketh
3426,neere
3431,wisdome
3437,dignitie
3455,vp
3469,againste
3474,bee
3482,Phylosophy
3484,euer
3485,mischiefe
3486,entred
3502,euer
3511,doth
3512,denie
3523,mee
3527,kinges
3532,stande
3534,schollers
3539,shalbe
3540,shalbe
3543,co^mandement
3550,courte
3551,instructe
3556,confirme
3558,olde
3562,lette
3564,liues
3571,leaste
3580,sayde
3582,woulde
3583,aske
3584,euery
3596,vs
3597,coulde
3598,aunswere
3605,beastes
3615,hetherto
3616,neuer
3634,vnpossible
3657,Indeede
3658,straunge
3661,haue
3663,answeres
3680,suffereth
3692,liue
3696,thinke
3702,liue
3707,doth
3727,parte
3735,thinkes
3737,haue
3738,aunswered
3747,meane
3750,trie
3756,haue
3759,courte
3774,leaue
3778,studie
3796,vs
3799,giue
3819,scholler
3828,soueraigne
3841,conte^ted
3849,seeketh
3852,neere
3866,vs
3867,questio^
