token,tokenToMatch,endReason,tag,tagIndex
THE,the,s,considrd,0
Fair,fair,s,,
ANDRIAN,andrian,c,,
",",",",s,,
A,a,s,considrd,0
COMEDY,comedy,c,,
",",",",s,,
Acted,acted,s,,
at,at,s,considrd,0
the,the,s,considrd,0
Feast,feast,s,,
of,of,s,considrd,0
Cibele,cibele,c,,
",",",",s,,
WHEN,when,s,,
M,m,c,,
.,.,s,,
Fulvius,fulvius,s,,
and,and,n,,
M,m,c,,
.,.,s,,
Glabrio,glabrio,s,,
were,were,s,,
Curule,curule,s,,
Edil's,edil's,c,,
",",",",s,,
By,by,s,considrd,0
the,the,s,considrd,0
Company,company,s,,
of,of,s,considrd,0
L,l,s,,
Ambivius,ambivius,s,,
Turpio,turpio,c,,
.,.,s,,
and,and,s,,
L,l,c,,
.,.,n,,
Attilius,attilius,s,,
of,of,s,considrd,0
Prenestae,prenestae,nn,,
Flaccus,flaccus,s,,
made,made,s,,
free,free,s,,
by,by,s,considrd,0
Claudius,claudius,c,,
",",",",s,,
composed,composed,s,strd,0
the,the,s,considrd,0
Music,music,c,strd,0
",",",",s,,
which,which,s,considrd,0
was,was,s,,
perform*d,perform*d,s,,
on,on,s,,
two,two,n,,
equal,equal,s,,
Flutes,flutes,c,,
",",",",s,,
the,the,s,considrd,0
one,one,s,,
Right-handed,right-handed,c,,
",",",",s,,
and,and,s,,
the,the,s,considrd,0
other,other,s,,
Left,left,s,,
handed,handed,nn,,
It,it,s,,
was,was,s,,
taken,taken,s,,
wholly,wholly,s,,
from,from,s,,
the,the,s,considrd,0
Greek,greek,s,,
and,and,s,,
Acted,acted,c,,
",",",",nn,,
Under,under,s,,
the,the,s,considrd,0
Consulship,consulship,s,,
of,of,s,considrd,0
M,m,c,,
.,.,s,,
Marcellus,marcellus,c,,
",",",",s,,
and,and,s,,
C,c,c,,
.,.,s,,
Sulpicius,sulpicius,c,,
.,.,nn,,
A,a,c,considrd,0
.,.,s,,
V,v,c,,
.,.,s,,
C,c,c,,
.,.,s,,
587,587,c,,
.,.,s,,
before,before,s,,
Christ,christ,c,,
.,.,s,,
162,162,c,,
.,.,nn,,
Scene,scene,c,,
",",",",s,,
ATHENS,athens,c,,
.,.,nn,,
The,the,s,considrd,0
TIME,time,s,,
about,about,s,,
Seven,seven,s,,
or,or,s,considrd,0
Eight,eight,s,,
Hours,hours,c,,
.,.,nn,,
The,the,s,considrd,0
Street,street,s,,
before,before,s,,
s,s,s,,
Door,door,c,,
.,.,s,,
The,the,s,considrd,0
Forenoon,forenoon,c,,
.,.,s,,
