tokenIndex,original
51,Compos'd
57,perform'd
145,VVell
147,'tis
148,'tis
172,he's
173,he's
175,concern'd
184,VVife
218,pick'd
252,whate're
268,VVorld
280,i'
306,ha'
362,Humour
405,o'th'
406,o'th'
411,liv'd
444,esteem'd
446,lov'd
487,ev'n
505,o'
513,ha'
520,he'll
521,he'll
542,won't
543,won't
546,falsifie
568,twas
569,twas
575,'tis
576,'tis
599,can't
610,won't
611,won't
631,d'ye
632,d'ye
639,Ruine
655,d'ye
656,d'ye
672,extreamly
674,in't
675,in't
677,he's
678,he's
679,extreamly
724,'tis
725,'tis
735,Logick
743,that's
744,that's
745,compell'd
759,you've
760,you've
771,shan't
772,shan't
776,he'll
777,he'll
778,ev'n
786,that's
787,that's
788,govern'd
793,chearfully
813,'tis
814,'tis
918,twou'd
919,twou'd
928,he's
929,he's
930,asham'd
966,plaid
967,what's
968,what's
979,forc'd
1007,carry'd
1027,on't
1028,on't
1037,on't
1038,on't
1051,on't
1052,on't
1061,wou'd
1088,wou'dn't
1089,wou'dn't
1111,tis
1112,tis
1120,there's
1121,there's
1162,'tis
1163,'tis
1210,Vertue
1232,shou'd
1233,ha'
1248,wou'd
1260,he's
1261,he's
1267,shou'd
1279,pray'd
1309,there's
1310,there's
1346,he's
1347,he's
1360,on't
1361,on't
1365,for't
1366,for't
1380,'tis
1381,'tis
1393,i'll
1394,i'll
1401,i'm
1402,i'm
1411,they'll
1412,they'll
1431,Cloaths
1443,i've
1444,i've
1454,uneasie
1472,judg'd
1476,i'll
1477,i'll
1478,make't
1479,make't
1533,i'll
1534,i'll
1543,VVhat
1544,shou'd
1558,'tis
1559,'tis
1568,i'm
1569,i'm
1570,concern'd
1580,let's
1581,let's
1611,revok'd
1622,i'll
1623,i'll
1628,VVill
1633,VVell
1636,that's
1637,that's
1653,tis
1654,tis
1680,there's
1681,there's
1683,for't
1684,for't
1690,ha'
1706,he's
1707,he's
1724,ha'
1727,you'd
1728,you'd
1729,ha'
1743,prais'd
1758,on't
1759,on't
1764,VVell
1768,won't
1769,won't
1792,i'm
1793,i'm
1796,mov'd
1802,wou'dn't
1803,wou'dn't
1807,concern'd
1812,he's
1813,he's
1821,pacifie
1840,shou'd
1851,shou'd
1852,ev'n
1915,wou'd
1938,on't
1939,on't
1952,i'll
1953,i'll
1954,know't
1955,know't
1956,whate're
1974,i'll
1975,i'll
1981,spight
1987,Tho'
1988,he's
1989,he's
1996,shan't
1997,shan't
2026,i'm
2027,i'm
2064,abus'd
2082,i'll
2083,i'll
2114,i'm
2115,i'm
2116,extreamly
2118,for't
2119,for't
2121,i'll
2122,i'll
2136,on't
2137,on't
2140,i've
2141,i've
2143,us'd
2180,that's
2181,that's
2213,i'd
2214,i'd
2252,o'th'
2253,o'th'
2258,you han't
2259,you han't
2260,you han't
2289,i'd
2290,i'd
2312,d'ye
2313,d'ye
